ID,Title,Brand,Processor Name,Processor Speed (GHz),Processor Brand,Operating System,RAM,Graphics Card,Storage (GB),Screen Size (inch),Screen Resolution - Height,Screen Resolution - Width,Weight (lb)
79,"apple macbook 13.3-inch laptop (2.1ghz intel core 2 duo, 4gb 667mhz ddr2 sdram, 160 gb hdd, mac os x) white,apple computer",apple,,2.1,intel,mac os x,4 gb,integrated_graphics,160 gb,13.3,,,2.2
80,"apple macbook a1181 macbook4,1 mb403ll/a, 2.4ghz intel core 2 duo t8300, 250gb hard drive, 2gb ram memory (early 2008),apple,mb403ll/a",,,,,,,,,,,,
81,"apple ibook 12.1-inch laptop, g4 ibook 1.33ghz processor, white,apple computer,a1311",apple, powerpc,1.33,aim,apple mac os x 10.4 (tiger),256 gb,ati mobility radeon 9200,60 gb,12.1,1024,768,4.9
82,"hp business notebook 6730b - intel centrino pro core 2 duo p8600 2.4ghz - 15.4"" wxga - 2gb ddr2 sdram - 160gb hdd - dvd-writer (dvd-ram/â±r/â±rw) - gigabit ethernet, wi-fi, bluetooth - windows vista business,hewlett packard",hp, intel core 2 duo,2.4,intel,windows_vista,2 gb,intel graphics media accelerator gma 4500mhd,160 gb,15.4,,,8.6
83,"panasonic toughbook 52 - core 2 duo p8400 2.26 ghz - 15.4"" tft (t18101) category: computer notebooks,panasonic",panasonic, intel core 2 duo,2.26,intel,windows_vista,,intel gma 4500mhd,160 gb,15.4,,,
84,"apple macbook mb466ll/a 13.3-inch laptop (old version),apple computer,mb466ll/a",apple, intel core 2 duo,2.4,intel,apple mac os x 10.6,2 gb,nvidia geforce 9400m,160 gb,13,1280,800,4.5
85,"elitebook 6930p notebook,hp",hp,,,,windows_vista,,intel gma 4500mhd,160 gb,14.1,,,8.3
86,"lenovo 7417-tpu thinkpad t400 14.1"" notebook,lenovo,t400",,,,,,,,,,,,
87,"dell latitude d610 14"" laptop (2.00ghz centrino processor, 1 gb ram, 40 gb hard drive, dvd/cd-rw combo drive),dell computers,latitude,588149",dell, intel centrino,2,intel,windows xp professional,1 gb,ati mobility radeon x300,40 gb,14,,,5.3
88,"lenovo 2743-89u thinkpad sl400 14.1"" notebook,lenovo,274389u",lenovo, intel core 2 duo,2.26,intel,windows xp;,2000 mb,integrated_graphics,250 gb,14.1,,,8.3
89,"thinkpad t400 6475 intel core 2 duo t9400 2.53ghz 802.11a/b/g/draft-n wireless 14.1"" wxga 2gb ddr3 sdram 160gb,lenovo group limited",,,,,,,,,,,,
