ID,Title,Brand,Processor Name,Processor Speed (GHz),Processor Brand,Operating System,RAM,Graphics Card,Storage (GB),Screen Size (inch),Screen Resolution - Height,Screen Resolution - Width,Weight (lb)
1512,voodoopc rage f:50,voodoopc,,,, microsoft windows xp professional, 1 gb, amd radeon 9800,,19,1280,1024,
1513,asus eeepc 1015pem,asus, intel atom n550,1.5,intel," microsoft windows 7 starter edition, microsoft windows 7 starter edition", 1 gb, intel gma 3150,250 gb,10.1,1024,600,2.7
1514,toshiba satellite u845w-s410,toshiba, intel core i5-3317u,1.7,intel, microsoft windows 7 home premium, 6 gb, intel hd graphics 4000,500 gb,14.4,1792,768,3.65
1515,velocity micro raptor z90 (i7-3770k),velocity, intel core i7-3770k,4.7,intel, microsoft windows 7 home premium, 8 gb, nvidia geforce gtx 680 sli,1120 gb,,,,
1516,hp pavilion dv5000t,hp, intel pentium m t2500,2,intel," ms windows xp media center, ms windows xp media center", 1 gb, nvidia geforce go 7400,100 gb,15.4,,,7.3
1517,ibm netvista m42,ibm,,,,, 512 mb, intel 845gv,40 gb,17,,,
1518,xplore xslate b10,xplore,,1.8,, microsoft windows 8.1 pro, 8 gb, intel hd graphics 6000,128 gb,10.1,,,2.57
1519,hp pavilion elite h8-1020,hp, intel core i7-2600s,,intel, microsoft windows 7 home premium, 8 gb, amd radeon hd 6570,1000 gb,,,,
1520,"dell latitude cpx j650gt, latitude ls",dell,,,,,,,5 gb,13.1,,,
1521,hp pavilion dv9500t,hp, intel core 2 duo t7500,2.2,intel, microsoft windows vista home premium, 2 gb, nvidia geforce 8600m gs,320 gb,17,,,8.2
1522,apple macbook air 11-inch (mid 2013),apple, intel core i5-4250u,1.3,intel, mac os x 10.8, 4 gb, intel hd graphics 5000,128 gb,11.6,1366,768,2.34
1523,samsung sf511-a02us,samsung, intel core i3-2310m,2.1,intel, microsoft windows 7 home premium, 6 gb,,500 gb,15.6,1366,768,5.23
1524,hp pavilion slimline media center s7500y pc,hp, intel pentium m 735a,1.7,intel, ms windows xp media center edition 2005, 1 gb, intel gma 900 gm,200 gb,,,,
1525,hp pavilion dv7-3080us,hp, intel core i7-720qm,1.6,intel, microsoft windows 7 home premium, 6 gb, nvidia geforce gt 230m,500 gb,17.3,,,7.5
1526,falcon northwest mach v (core i7-2600k),falcon,,4.7,, microsoft windows 7 home premium, 16 gb,,1240 gb,,,,
1527,lenovo ideacentre k220,lenovo, intel core 2 quad q8200,2.33,intel, microsoft windows vista home premium, 4 gb, nvidia geforce 9300+ ge,640 gb,21.5,,,
1528,amazon fire hd 6,amazon,,1.2,, amazon fire os, 1 gb,,8 gb,6,,,10.1
1529,velocity micro raptor dcx,velocity, intel core 2 extreme x6800,3.4,intel, ms windows xp professional, 2 gb, amd radeon x1900 crossfire,700 gb,20,,,
1530,gateway e-265m,gateway, intel core 2 duo t7500,2.2,intel, microsoft windows vista business, 2 gb, intel gma x3100,80 gb,14.1,,,6.4
1531,sony vaio digital studio pcv-rs220,sony,,,,, 512 mb,,120 gb,,,,
1532,the multi-cpu eon begins,the,,,,, 1 gb,,35 gb,,,,
1533,sony vaio vpc-eb13fx/bic,sony, intel core i5-430m,2.26,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,500 gb,15.5,,,5.56
1534,gateway m250xl ,gateway, intel pentium m 750,1.86,intel, ms windows xp home, 512 mb, intel gma 900 gm,60 gb,14.1,,,5.1
1535,sony vaio vgn-t150 ,sony,,1.1,, ms windows xp professional, 512 mb, intel 82855 gme,40 gb,10.6,,,3.1
1536,dell inspiron 17r-2211obk,dell, intel core i5-450m,2.4,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,500 gb,17.3,,,6.7
1537,dell dimension 8250,dell,,,,, 512 mb,,200 gb,18,,,
1538,gateway m460,gateway,,2.13,, ms windows xp professional, 512 mb, amd radeon x600,80 gb,15.4,,,6.8
1539,asus vivobook x202e-bh91t-cb,asus, intel pentium b987,1.5,intel, microsoft windows 8, 4 gb, intel gma hd,5000 gb,11.6,1366,768,4.41
1540,toshiba satellite t135-s1305wh,toshiba, intel pentium u4100,1.3,intel, microsoft windows 7 home premium, 3 gb, intel gma 4500mhd,320 gb,13.1,,,3.7
1541,apple imac g5 (2.0 ghz),apple, powerpc g5,2,powerpc, mac os x 10.4, 512 mb,,250 gb,20,1680,1050,
1542,google chromebook pixel (2015),google, intel core i5-5200u,2.2,intel, google chrome os, 8 gb, intel hd graphics 5500,32 gb,12.85,2560,1700,3.3
1543,zotac zbox sphere oi520 plus,zotac, intel core i5-4200u,1.6,intel," linux, microsoft windows 7 home premium, microsoft windows 8", 4 gb, intel hd graphics 4400,500 gb,,,,
1544,falcon northwest mach v (quad-core),falcon, intel core 2 extreme qx6700,2.6,intel, ms windows xp professional, 2 gb, nvidia geforce 8800gtx sli,1050 gb,,,,
1545,vizio 24-inch all-in-one (ca24t-a4),vizio, intel core i5-3210m,2.5,intel, microsoft windows 8, 6 gb, intel hd graphics 4000,1000 gb,24,1920,1080,
1546,sony vaio vgn-ar590e,sony, intel core 2 duo t7300,2,intel, microsoft windows vista home premium, 2 gb, nvidia geforce 8600m gt,320 gb,17,,,8.2
1547,hp pavilion dv6-3143cl,hp, amd phenom ii n640 dual-core,2.9,amd, microsoft windows 7 home premium, 4 gb, amd mobility radeon hd 4250,640 gb,15.6,1366,768,5.3
1548,sony vaio vpc-eh35fm/b,sony, intel core i5-2450m,2.5,intel, microsoft windows 7 home premium, 6 gb, intel hd graphics 3000,640 gb,15.5,1366,768,5.2
1549,dell inspiron 13 7000 series 2-in-1,dell, intel core i5-4210u,1.7,intel, windows 8.1, 8 gb, intel hd graphics 4400,500 gb,13.3,1920,1080,3.7
1550,winbook jiv mini,winbook, intel core duo t2300,1.66,intel, ms windows xp media center edition 2005, 1 gb,,100 gb,,,,
1551,asus s6f,asus,,1.5,, ms windows xp professional, 1 gb, intel gma 950,100 gb,11.1,,,3.4
1552,lg x120,lg, intel atom n270,1.6,intel," ms windows xp home, ms windows xp home", 1 gb, intel gma 950,160 gb,10.1,,,2.8
1553,alienware area-51m,alienware,,3.4,, ms windows xp professional, 1 gb, amd mobility radeon 9700,60 gb,15.4,,,8.8
1554,cybernet ione-h5,cybernet, intel core i7-860,2.8,intel, microsoft windows 7 professional, 8 gb, amd radeon hd 5730,500 gb,20,1920,1080,
1555,raspberry pi 2 model b,raspberry, broadcom bcm2836 arm7,900,broadcom,,,,0 mb,,,,
1556,lenovo thinkpad t410s,lenovo, intel core i5-520m,2.4,intel, microsoft windows 7 professional, 4 gb, intel gma hd,250 gb,14.1,,,3.9
1557,hp pavilion p6247c-b,hp, amd athlon ii x4 620,2.6,amd, microsoft windows 7 home premium, 6 gb, nvidia geforce 9100,500 gb,23,1920,1080,
1558,hp compaq 8200 elite all-in-one pc,hp, intel core i7-2600s,2.9,intel, microsoft windows 7 professional, 4 gb, intel hd graphics 2000,500 gb,23,1920,1080,
1559,hp pavilion elite e9120f,hp, amd phenom ii x4 910,2.6,amd, microsoft windows vista home premium, 8 gb, amd radeon hd 4350,1000 gb,,,,
1560,dell precision m6600,dell, intel core i5-2520m,2.5,intel, microsoft windows 7 professional, 4 gb, amd firepro m8900,320 gb,17.3,1600,900,
1561,"apple macbook pro 13-inch, retina display (2014)",apple, intel core i5-4278u,2.6,intel, mac os x 10.9 mavericks, 8 gb, intel iris graphics,128 gb,13.3,2560,1600,3.38
1562,lenovo yoga 3 pro,lenovo, intel core m 5y70,1.1,intel," microsoft windows 8, windows 8.1"," 8 gb, 8 gb"," intel hd graphics 5300, intel hd graphics 5300",256 gb,13.3,3200,1800,2.6
1563,dell inspiron 14r-1898mrb,dell, intel core i3 350m,2.27,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,500 gb,14.1,,,4.9
1564,falcon northwest mach v (core i7-3960x),falcon, intel core i7-3960x,3.3,intel, microsoft windows 7 ultimate, 32 gb, nvidia geforce gtx 580 triple sli,2512 gb,,,,
1565,fujitsu stylistic q550 (intel atom z690),fujitsu, intel atom z690,1.7,intel, microsoft windows 7 professional," 2 gb, 2 gb"," intel gma hd 600, intel gma hd 600",62 gb,10.1,1280,800,1.87
1566,lenovo thinkpad yoga 11e,lenovo, intel celeron n2930,1.83,intel, windows 8.1, 4 gb, intel hd graphics,500 gb,11.6,1366,768,3.7
1567,averatec av4265-eh1,averatec, intel pentium m 730,1.6,intel, ms windows xp home, 512 mb, intel gma 900 gm,80 gb,13.3,,,4.3
1568,toshiba satellite radius 12 (p20w-cst3n01),toshiba, intel core i5-6200u,2.3,intel, windows 10, 8 gb, intel hd graphics 520,256 gb,12.5,1920,1080,2.9
1569,hp envy sleekbook 6-1010us ,hp,,2.1,,, 4 gb, amd mobility radeon 7500,500 gb,15.6,1366,768,4.48
1570,sony xperia tablet z,sony,,1.5,, google android 4.1.1, 2 gb, arm adreno 320,16 gb,10.1,,,1.09
1571,hp slate 21,hp, nvidia tegra 4 (t40),1.1,nvidia,, 1 gb,,8 gb,21.5,1920,1080,
1572,viewsonic nextvision m1200,viewsonic,,,,, 512 mb,,160 gb,17,,,
1573,acer travelmate 611txri,acer,,,,, 128 mb,,6 gb,14.1,,,
1574,acer aspire s7-393-7451,acer, intel core i7-5500u,2.4,intel, windows 8.1, 8 gb, intel hd graphics 5500,256 gb,13.3,1920,1080,2.87
1575,cyberpower gamer xtreme m1,cyberpower, intel core 2 duo p8600,2.4,intel, microsoft windows vista home premium, 4 gb, amd mobility radeon hd 3870 crossfirex,250 gb,17,,,9.6
1576,toshiba satellite l655-s5161x,toshiba, intel core i3-2310m,2.1,intel, microsoft windows 7 home premium, 4 gb, intel hd graphics 3000,500 gb,15.6,1366,768,5.3
1577,lenovo thinkpad x130e,lenovo, amd e-300,1.3,amd," microsoft windows 7 professional, microsoft windows 7 professional", 2 gb, amd radeon hd 6310,320 gb,11.6,1366,768,3.53
1578,asus memo pad hd 7,asus,,1.2,, google android 4.2.1, 1 gb, img powervr sgx544,16 gb,7,,,10.7
1579,polywell nano i3-q7,polywell, intel core i3-3217u,1.8,intel, microsoft windows 7 home premium, 8 gb, intel hd graphics 4000,64 gb,,,,
1580,apple macbook 13-inch (white),apple, intel core duo t2500,1.83,intel, mac os x, 512 mb, intel gma 950,60 gb,13.3,,,5.1
1581,lenovo tab 2 a10-70,lenovo,,1.7,, android 5.0, 2 gb,,16 gb,10.1,,,17.9
1582,abs awesome 3350,abs,,,,, 512 mb,,120 gb,17,,,
1583,adaptec videoh! dvd,adaptec,,,,,,,,,,,
1584,archos 80 g9,archos,,1,, google android 3.0 or higher,,,8 gb,8,,,1.06
1585,falcon northwest mach v (gtx 980),falcon, intel core i7-5960x,4.7,intel, windows 8.1, 32 gb, nvidia geforce gtx 980,3512 gb,,,,
1586,sony vaio vgn-sz280p (intel core 2 duo),sony, intel core duo t2500,2,intel, ms windows xp professional,, intel gma 950,2 gb,13.3,,,3.72
1587,dell xps m1210,dell, intel core duo t2600,2.16,intel, ms windows xp media center, 1 gb, nvidia geforce go 7400,80 gb,12.1,,,5
1588,sony vaio vpc-ea36fmw,sony, intel core i3-370m,2.4,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,500 gb,14,1366,768,4.9
1589,emachines t6212,emachines,,2,, microsoft windows xp home, 512 mb,,160 gb,15,,,
1590,idolian mini studio,idolian,,1.6,, google android 4.1.1, 1 gb,,8 gb,8,,,14.8
1591,lenovo thinkpad t410,lenovo, intel core i5-540m,2.53,intel, microsoft windows 7 professional, 4 gb, nvidia quadro 3100m,320 gb,14.1,,,5.5
1592,apple emac,apple, powerpc g4,,powerpc, mac os x 10.3, 256 mb, amd radeon 9200,40 gb,17,1280,1024,
1593,hp pavilion 15-b168ca,hp, amd a8-4555m,1.6,amd, microsoft windows 8, 8 gb, amd radeon hd 7600g,1000 gb,15.6,1366,768,5.07
1594,juno power hue pro,juno,,,,,,,,,,,
1595,lenovo thinkpad t60,lenovo, intel pentium m t2500,2,intel, ms windows xp professional, 1 gb, amd mobility radeon x1400,100 gb,15,,,6.2
1596,ibm thinkpad a31p,ibm,,1.7,,,,,60 gb,15,,,
1597,msi ag270 gaming all-in-one (2pc-006us),msi, intel core i7-4860hq,2.4,intel, windows 8.1, 16 gb, nvidia geforce gtx 870m,1256 gb,27,1920,1080,
1598,polywell poly 880k7-1200,polywell,,,,, 128 mb,,40 gb,17,,,
1599,polywell poly 939n-fx55 (iss. 21 2004),polywell,,,, microsoft windows xp professional, 1 gb, nvidia geforce fx 6800 ultra,148 gb,19,1792,1344,
1600,samsung ativ one 7 (dp700a3d-a01us),samsung, intel core i5-3470t,2.9,intel, microsoft windows 8, 6 gb, intel hd graphics 2500,1000 gb,23.6,1920,1080,
1601,razer blade (2016),razer, intel core i7-6700hq,2.6,intel, windows 10, 16 gb, nvidia geforce gtx 970m,256 gb,14,3200,1800,4.26
1602,asus k53e-rbr4,asus, intel core i3-2330m,2.2,intel, microsoft windows 7 home premium, 6 gb, intel hd graphics 3000,640 gb,15.6,1366,768,5.6
1603,samsung galaxy tab 7.7 (verizon wireless),samsung,,1.4,, google android 3.0 or higher,,,16 gb,7.7,,,11.8
1604,gateway's all-in-one gets a boost,gateway's,,,,, 256 mb,,80 gb,17,,,
1605,nokia booklet 3g,nokia, intel atom z530,1.6,intel," microsoft windows 7 home premium, microsoft windows 7 home premium", 1 gb, intel gma 500,120 gb,10.1,,,2.7
1606,asus et2700inks-b062c,asus, intel core i7-2600s,2.8,intel, microsoft windows 7 home premium, 8 gb, nvidia geforce gt 540m,1000 gb,27,1920,1080,
1607,asus eee pad transformer prime tf201,asus,,1.4,, google android 3.0 or higher,,,32 gb,10.1,,,1.25
1608,aberdeen stirling 208s,aberdeen,,,," windows server 2003, windows server 2003", 1 gb,,219 gb,,,,
1609,toshiba portégé m400-s933,toshiba, intel pentium m t1300,1.67,intel, ms windows xp tablet pc edition, 512 mb, intel gma 950,80 gb,12.1,,,4.7
1610,acer travelmate 2203lci,acer, intel celeron d 335,2.8,intel, ms windows xp home, 256 mb, amd mobility radeon 9000,40 gb,15,,,7.4
1611,ibuypower gamer power bts11,ibuypower, intel core i5-2500k,3.3,intel, microsoft windows 7 home premium, 8 gb, nvidia geforce gtx 550ti,750 gb,,1920,1080,
1612,toshiba qosmio g35-av660,toshiba, intel core 2 duo t7200,2,intel," ms windows xp media center, ms windows xp media center", 2 gb, nvidia geforce go 7600,240 gb,17,,,10.3
1613,dell inspiron 8600 (iss. 21 2004),dell,,2,, ms windows xp home, 512 mb, amd radeon 9600,60 gb,15.4,,,7.1
1614,lenovo thinkpad t440s,lenovo, intel core i5-4200u,1.6,intel, microsoft windows 8 professional, 4 gb, intel hd graphics 4400,128 gb,13,1920,1080,3.5
1615,jumbo-screen apple portable delivers,jumbo-screen,,1,,, 512 mb,,60 gb,17,,,
1616,toshiba tecra m8-s8011,toshiba, intel core 2 duo t7100,1.8,intel, microsoft windows vista business, 1 gb, intel gma 950,120 gb,13.3,,,4.5
1617,sony vaio pcg-fr130,sony,,1.67,,, 512 mb,,40 gb,14.1,,,7.5
1618,dell xps 15z,dell, intel core i7-2620m,2.7,intel, microsoft windows 7 home premium, 8 gb, intel hd graphics 3000,750 gb,15.6,1920,1080,5.5
1619,asus essentio cm1730-05,asus, amd phenom ii x6 1065t,2.6,amd, microsoft windows 7 home premium, 8 gb, amd radeon hd 3000,1000 gb,,,,
1620,msi gx70 3be-007us ,msi, amd a10-5750m,2.5,amd, microsoft windows 8, 8 gb, amd radeon hd 8970m,750 gb,17.3,1920,1080,8.6
1621,microsoft surface windows 8 pro,microsoft, intel core i5-3317u,1.7,intel, microsoft windows 8," 4 gb, 4 gb"," intel hd graphics 4000, intel hd graphics 4000",128 gb,10.6,,,2
1622,hp compaq nc6320,hp, intel pentium m t2500,2,intel, ms windows xp professional, 1 gb, intel gma 950,80 gb,15,,,6.1
1623,hp touchsmart 620-1080 3d,hp, intel core i5-2400,3.1,intel, microsoft windows 7 home premium, 8 gb, amd radeon hd 6670a,1500 gb,23,1920,1080,
1624,voodoo envy 133,voodoo, intel core 2 duo p7500,1.6,intel, microsoft windows vista business, 2 gb, intel gma x3100,80 gb,13.3,,,3.5
1625,dell latitude 12 rugged extreme,dell, intel core i5-4300u,1.9,intel, windows 8.1 pro, 8 gb, intel hd graphics 4400,256 gb,11.6,1366,768,6.07
1626,acer aspire e5-471-59rt,acer, intel core i5-4210u,1.7,intel, windows 8.1, 4 gb, intel hd graphics 4400,500 gb,14,1366,768,4.25
1627,hp compaq presario v2000z ,hp, amd turion 64 ml-34 mobile,1.8,amd, ms windows xp home, 512 mb, amd radeon xpress 200,60 gb,14.1,,,5.4
1628,toshiba satellite pro u400-s1001x,toshiba, intel core 2 duo t8100,2.1,intel, ms windows xp professional, 1 gb, intel gma x3100,160 gb,13.3,,,4.6
1629,alienware m18x,alienware, intel core i7-2960xm,2.7,intel, microsoft windows 7 home premium, 16 gb, nvidia geforce gtx 580m,1000 gb,18.4,1920,1080,12.9
1630,hp pavilion zv5000z,hp,,2.2,, ms windows xp professional,, nvidia geforce4 440 go,80 gb,15.4,,,8.44
1631,dell inspiron 600m,dell,,1.5,, ms windows xp home, 512 mb,,40 gb,14.1,,,5.4
1632,systemax venture m-u15,systemax,,,,, 128 mb,,40 gb,17,,,
1633,acer aspire 4743z-4861,acer, intel pentium dual-core p6200,2.13,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,500 gb,14,1366,768,4.74
1634,toshiba mini nb205-n210,toshiba, intel atom n280,1.67,intel," ms windows xp home, ms windows xp home", 1 gb, intel gma 950,160 gb,10.1,,,2.9
1635,compaq presario cq5110f,compaq, amd athlon x2 7550,2.5,amd, microsoft windows vista home premium, 3 gb, nvidia geforce 6150 se,320 gb,,,,
1636,emachines et1331-40e,emachines,,2.8,, microsoft windows 7 home premium, 4 gb, nvidia geforce 6150 se,500 gb,20,1600,900,
1637,micronpc transport t1000,micronpc,,1.8,,,,,,14,,,5.5
1638,micro electronics powerspec t470,micro, intel core 2 duo e6300,1.86,intel, microsoft windows vista home premium, 2 gb, nvidia geforce 7300gt,300 gb,20,,,
1639,toshiba portégé 3500,toshiba,,1.33,,, 256 mb,,60 gb,12.1,,,4.1
1640,sotec 3120x,sotec,,1.2,,,,,20 gb,12.1,,,4.1
1641,dell inspiron 17r special edition (7720),dell, intel core i7-3610qm,2.3,intel, microsoft windows 7 home premium, 8 gb, nvidia geforce gt 650m,1000 gb,17.3,1920,1080,7.4
1642,falcon northwest mach v fx-51,falcon,,,,, 1 gb,,500 gb,20,1600,1200,
1643,gateway profile 4 xl,gateway,,,,, 512 mb,,120 gb,17,,,
1644,hp pavilion dv5000z,hp, amd turion 64 ml-40,2.2,amd, ms windows xp media center, 1 gb, amd radeon xpress 200,120 gb,15.4,,,7.4
1645,lenovo ideapad s10,lenovo, intel atom n270,1.6,intel," ms windows xp home, ms windows xp home", 1 gb, intel gma 950,160 gb,10.2,,,2.7
1646,falcon northwest fragbox (geforce gtx 780 sli),falcon, intel core i7-4770k,3.5,intel, microsoft windows 8, 32 gb, nvidia geforce gtx 780,1920 gb,,,,
1647,eurocom mirage d870p,eurocom,,3.2,, ms windows xp professional,, amd radeon 9600,120 gb,17,,,10.74
1648,zagg rugged book for ipad air,zagg,,,,,,,,,,,
1649,hp g42-243cl-b,hp, amd turion ii dual-core mobile m520,2.3,amd, microsoft windows 7 home premium, 4 gb, amd radeon hd 4250,320 gb,14,,,4.7
1650,samsung galaxy tab 2 (7.0) (verizon wireless),samsung,,1.2,, google android 3.0 or higher,,,8 gb,7,,,12.13
1651,karuma playbase plus,karuma,,1,, google android 2.3 or earlier,,,8 gb,7,,,11.46
1652,acer aspire x1301-b1812,acer, amd athlon ii x2 215,2.6,amd, microsoft windows 7 home premium, 3 gb, nvidia geforce 9200,600 gb,20,1600,900,
1653,"hp omnibook 900, omnibook 6000",hp,,,,, 128 mb,,4 gb,13.2,,,
1654,dell latitude x1,dell, intel pentium m 730,1.1,intel, ms windows xp professional, 512 mb, intel gma 900 gm,60 gb,12,,,2.5
1655,alienware aurora m7700,alienware, amd athlon 64 fx-60,2.6,amd, ms windows xp home, 1 gb, nvidia geforce go 7800gtx,80 gb,17,,,12.4
1656,acer aspire as5534-1146,acer, amd athlon x2 l310,1.2,amd, microsoft windows 7 home premium, 4 gb, amd radeon hd 3200,320 gb,15.6,,,5.2
1657,msi gt70 2pc dominator,msi, intel core i7-4800mq,2.7,intel, windows 8.1, 16 gb, nvidia geforce gtx 880m,128 gb,17.3,1920,1080,8.6
1658,expand your office,expand,,,,,,,,,1024,768,
1659,toshiba qosmio g35-av600,toshiba, intel pentium m t2400,1.83,intel," ms windows xp media center, ms windows xp media center", 1 gb, nvidia geforce go 7300,160 gb,17,,,9.9
1660,ibuypower gamer extreme pc,ibuypower,,,,, 1 gb, amd radeon 9800,120 gb,19,1280,1024,
1661,samsung galaxy tab pro 8.4,samsung,,2.3,, android 4.4, 2 gb,,16 gb,8.4,,,11.67
1662,hp compaq nc8200,hp,,2,, ms windows xp professional, 512 mb, amd radeon x600,60 gb,15.4,,,6.2
1663,asus g75vw-ds71,asus, intel core i7-3610qm,2.3,intel, microsoft windows 7 home premium, 12 gb,,1500 gb,17.3,1920,1080,9.4
1664,dell latitude d630 (green pc),dell, intel core 2 duo t7500,2.2,intel, microsoft windows vista home basic, 2 gb, intel gma x3100,120 gb,14.1,,,5.8
1665,cyberpower gamer xtreme 9000,cyberpower, intel core i7-2600k,3.4,intel, microsoft windows 7 home premium, 8 gb, nvidia geforce gtx 560 ti dual sli,1000 gb,,,,
1666,lenovo ideacentre a310,lenovo, intel core i3-370m,2.4,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,500 gb,21.5,1920,1080,
1667,dell studio hybrid,dell, intel core 2 duo t8100,2.1,intel, microsoft windows vista home premium, 2 gb, intel mobile 965 express,250 gb,,,,
1668,nec versa txi,nec,,,,, 128 mb,,20 gb,12.1,,,
1669,compaq presario sr1030z,compaq, amd athlon 64 3500+,2.2,amd, ms windows xp media center edition 2005, 512 mb, amd radeon xpress 200,250 gb,17,,,
1670,hp elitebook 2740p,hp, intel core i5-540m,2.53,intel, microsoft windows 7 professional," 4 gb, 4 gb"," intel gma hd, intel gma hd",250 gb,12.1,,,5.1
1671,lenovo 3000 v100,lenovo, intel core duo t2500,2,intel, ms windows xp professional, 1 gb, intel gma 950,100 gb,12.1,,,4.4
1672,samsung galaxy tab s 10.5,samsung,,1.9,, android 4.4, 3 gb,,16 gb,10.5,,,16.47
1673,hp elitepad 1000 g2,hp,,1.6,, microsoft windows 8.1 pro, 4 gb, intel hd graphics,64 gb,10.1,,,1.5
1674,hp compaq business desktop dx2400 ,hp, intel pentium dual-core e2200,2.2,intel, microsoft windows vista business, 1 gb, intel gma 3100,80 gb,,,,
1675,an affordable gaming emachine,an,,,, microsoft windows xp home, 512 mb,,100 gb,,,,
1676,hp compaq tablet pc tc1000,hp,,1,,,,,,,,,
1677,abs ultimate x6,abs, intel pentium 4 extreme edition,3.73,intel, microsoft windows xp professional, 1 gb,,400 gb,19,,,
1678,maingear f131 super stock (gtx titan),maingear, intel core i7-3770k,4.6,intel, microsoft windows 7 home premium, 16 gb, nvidia geforce titan sli,2512 gb,,,,
1679,apple macbook pro 13-inch (retina display),apple,,2.5,, mac os x 10.8, 8 gb, intel hd graphics 4000,256 gb,13.3,2560,1600,3.57
1680,lenovo thinkcentre m58e,lenovo, intel core 2 duo e8400,3,intel, microsoft windows vista business, 2 gb, intel gma 4500mhd,250 gb,,,,
1681,hp pavilion dm4-2180us (staples),hp, intel core i5-2430m,2.4,intel, microsoft windows 7 home premium, 6 gb, intel gma hd,640 gb,14,1366,768,4.33
1682,toshiba tecra r850-s8540,toshiba, intel core i7-2620m,2.7,intel, microsoft windows 7 professional, 4 gb, intel hd graphics 3000,320 gb,15.6,1366,768,5.3
1683,lenovo ideapad z470-102249u,lenovo, intel core i5-2410m,2.3,intel, microsoft windows 7 home premium, 4 gb, intel hd graphics 3000,750 gb,14,1366,768,4.8
1684,northgate integra p4,northgate,,,,,,,20 gb,,,,
1685,apple mac mini (late 2012),apple, intel core i5-4302y,2.3,intel, mac os x 10.8, 4 gb, intel hd graphics 4000,1128 gb,,2560,1600,
1686,sony vaio vgn-x505zp,sony,,1.1,, ms windows xp professional,,,20 gb,10.4,,,1.8
1687,hp touchsmart iq816,hp, intel core 2 duo t8100,2.1,intel, microsoft windows vista home premium, 4 gb, nvidia geforce 9600m gs,750 gb,25.5,,,
1688,sony vaio vgn-a690,sony, intel pentium m 750,1.86,intel," ms windows xp home, ms windows xp home", 1 gb, amd radeon x600,100 gb,17,,,8.6
1689,dell inspiron mini 10s (hd),dell, intel atom n450,1.66,intel," microsoft windows 7 starter edition, microsoft windows 7 starter edition", 1 gb, intel gma 3150,250 gb,10.1,,,3.1
1690,lg g pad 7.0,lg,,1.2,, android 4.4, 1 gb,,16 gb,7,,,10.34
1691,hp pavilion elite h8-1124 ,hp, intel core i7-2600,3.4,intel, microsoft windows 7 home premium, 8 gb, amd radeon hd 6570,1000 gb,,,,
1692,toshiba portégé r705-p25,toshiba, intel core i3 350m,2.27,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,500 gb,13.3,,,3.1
1693,gateway uc7807u,gateway, intel core 2 duo t6400,2,intel, microsoft windows vista home premium, 3 gb, intel gma 4500mhd,250 gb,13.3,,,5.3
1694,toshiba satellite u925t-s2120,toshiba, intel core i5-3337u,1.8,intel, microsoft windows 8, 4 gb, intel hd graphics 4000,128 gb,12.5,1366,768,3.35
1695,hp compaq presario r3000,hp,,1.6,, ms windows xp home, 256 mb,,40 gb,15.4,,,7.9
1696,acer aspire as7740-5691,acer, intel core i3 330m,2.13,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,320 gb,17.3,,,6.7
1697,asus k53sd-ds51,asus, intel core i5-2450m,2.5,intel, microsoft windows 7 home premium, 6 gb, intel hd graphics 3000,750 gb,15.6,1366,768,5.75
1698,acer aspire s3,acer, intel core i5-2467m,1.6,intel, microsoft windows 7 home premium, 4 gb, intel hd graphics 3000,320 gb,13.3,1366,768,2.9
1699,large-screen notebooks push the limits of portability,large-screen,,2.8,,, 512 mb, nvidia geforce fx go5200,60 gb,17,,,
1700,emachines t3642,emachines, amd athlon 64 4000+,2.6,amd, microsoft windows vista home premium, 1 gb, nvidia geforce 6100,250 gb,,,,
1701,cyberpower gamer ultra 9900 pro,cyberpower,,,,, 1 gb, nvidia geforce 6800,148 gb,20.1,1280,1024,
1702,polywell poly 925cv-3600,polywell,,,, microsoft windows xp home, 1 gb, nvidia geforce 6800,148 gb,19,1280,1024,
1703,shuttle xpc h7 5820s workstation ,shuttle,,,,,, matrox m9188,,,,,
1704,dell xps 15 touch (9530) ,dell, intel core i7-4712hq,2.3,intel, windows 8.1, 16 gb, nvidia geforce gt 750m,512 gb,15.6,3840,2160,4.44
1705,lenovo thinkpad sl510,lenovo, intel core 2 duo p8700,2.53,intel, microsoft windows 7 professional, 3 gb, intel gma 4500mhd,250 gb,15.4,,,5.9
1706,emachines m5405 (iss. 21 2004),emachines, amd sempron 2800+ mobile,1.6,amd, ms windows xp home, 512 mb, sis 750,60 gb,15.4,,,6.6
1707,sony vaio vgn-aw190,sony, intel core 2 duo t9400,2.53,intel, microsoft windows vista ultimate, 4 gb, nvidia geforce 9600m gt,1000 gb,18.4,,,8.4
1708,lenovo ideacentre a720,lenovo, intel core i5-3210m,2.5,intel, microsoft windows 7 home premium, 6 gb, nvidia geforce gt 630m,500 gb,27,1920,1080,
1709,dell xps 13,dell, intel core i5-2467m,1.6,intel, microsoft windows 7 home premium, 4 gb, intel hd graphics 3000,128 gb,13.3,1366,768,3
