Title,Price,Currency,Sold by Newegg,Rating,Brand,Model,Color,CPU Type,CPU Speed,Number of Cores,Screen Size,Resolution,Touchscreen,Operating System,GPU/VPU,Graphic Type,SSD,HDD,Memory,Battery,Battery Life,Dimensions (W x D x H),Weight
"HP Pavilion 14-c010us Chromebook Intel Celeron 847 (1.1 GHz) 2GB DDR3 Memory 16 GB SSD 14.0"" Chrome OS -",489.95,USD,no,3,HP,14-c010us,HP Imprint finish in sparkling black,Intel Celeron,847 (1.1 GHz),,"14.0""",1366 x 768,,Chrome OS,Intel HD Graphics,Integrated Card,16 GB,,2 GB DDR3,4-Cell 37WHr 2.55Ah lithium-ion battery,Up to 4 hours and 15 minutes,"13.66"" x 9.37"" x 0.81""-0.83""",3.96 lbs.
"DELL Laptop Inspiron i15RV-954BLK Intel Pentium 2127U (1.90 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 15.6"" Windows 8.1 -",559.95,USD,no,4,DELL,i15RV-954BLK,Black,Intel Pentium,2127U (1.90 GHz),,"15.6""",1366 x 768,No,Windows 8.1,Intel HD Graphics,Integrated Card,,500 GB,4 GB DDR3,4-cell lithium ion,,,
"DELL Laptop Latitude E6440 Intel Core i5 4th Gen 4300M (2.60 GHz) 4 GB Memory 128 GB SSD Intel HD Graphics 4600 14.0"" Windows 7 Professional 64-Bit -",1999.95,USD,no,,DELL,E6440,Anodized Aluminum,Intel Core i5 4th Gen,4300M (2.60 GHz),Dual-core Processor,"14.0""",1600 x 900,,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,Integrated Card,128 GB,,4 GB DDR3,9-cell lithium ion,,,4.7lbs
"Refurbished: SAMSUNG XE303C12-A01US Chromebook Samsung Exynos 2GB Memory 11.6"" Google Chrome OS – Scratch and Dent or Minor Blemish -",299.95,USD,no,5,SAMSUNG,XE303C12-A01USB,Silver,Samsung Exynos,,,"11.6""",,,Chrome OS,,,16 GB,,2 GB DDR3,2-cell lithium ion,,,
"DELL Laptop Inspiron i15RV-1435BLK Intel Core i3 3rd Gen 3217U (1.80 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 4000 15.6"" Windows 8.1 (64Bit) -",649.95,USD,no,5,DELL,i15RV-1435BLK,,Intel Core i3 3rd Gen,3217U (1.80 GHz),,"15.6""",1366 x 768,,Windows 8.1 (64Bit),Intel HD Graphics 4000,Integrated Card,,500 GB,4 GB DDR3,4-cell lithium ion,,,
"DELL Laptop Latitude E6540 Intel Core i5 4th Gen 4300M (2.60 GHz) 4 GB Memory 320 GB HDD AMD Radeon HD 8790M 15.6"" Windows 7 Professional 64-Bit -",1699.95,USD,no,4,DELL,E6540,Anodized Aluminum,Intel Core i5 4th Gen,4300M (2.60 GHz),Dual-core Processor,"15.6""",,,Windows 7 Professional 64-Bit,AMD Radeon HD 8790M,Dedicated Card,,320 GB,4 GB DDR3,9-cell lithium ion,,,5.6lbs
"Acer Aspire S7-391-6478 13.3"" Touchscreen Convertible Ultrabook -",1799.95,USD,no,4,Acer,S7-391-6478,,Intel Core i5 3rd Gen,3317U (1.70 GHz),,"13.3""",1920 x 1080,Yes,Windows 8 64-Bit,Intel HD Graphics 4000,Integrated Card,128 GB,,4 GB DDR3,4-cell Lithium Polymer (Li-Polymer) 2340 mAh,,"12.7"" x 8.8"" x 0.5""",2.87 lbs.
"ThinkPad X1 Carbon Intel Core i5 4GB 128GB SSD 14"" HD+ Ultrabook (3444B8U0) -",1999.95,USD,no,4,Lenovo,3444B8U,Black,Intel Core i5,1.80 GHz,,"14""",1600 x 900,No,Windows 7 Professional,HD 4000,,,,4 GB,4-cell lithium ion,8.20 Hour,,3.00 lb
"Lenovo Laptop ThinkPad T431s Intel Core i5 3rd Gen 3337U (1.80 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 4000 14.0"" Windows 7 Professional 64-bit -",1499.95,USD,no,4,Lenovo,T431s,Graphite Black,Intel Core i5 3rd Gen,3337U (1.80 GHz),,"14.0""",1600 x 900,,Windows 7 Professional 64-bit,Intel HD Graphics 4000,Integrated Card,,500 GB,4 GB DDR3,3-cell lithium ion,up to 5.9 Hours per Charge,"13""W x 8.9""D x 0.8""H",3.6 lbs.
"DELL Laptop Inspiron i15RVT-3809BLK Intel Pentium 2127U (1.90 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 15.6"" Touchscreen Windows 8.1 -",579.48,USD,no,5,DELL,i15RVT-3809BLK,Black,Intel Pentium,2127U (1.90 GHz),,"15.6""",1366 x 768,Yes,Windows 8.1,Intel HD Graphics,Integrated Card,,500 GB,4 GB DDR3,4-cell lithium ion,,,
