ASIN,Title,Price,Customer Reviews,Best Sellers Rank,Date First Available,Brand Name,Series,Item model number,Color,Processor,Processor Brand,Processor Count,Screen Size,Screen Resolution,Max Screen Resolution,Hardware Platform,Operating System,Graphics Coprocessor,Card Description,Graphics Card Ram Size,Chipset Brand,RAM,Computer Memory Type,Hard Drive,Hard Drive Interface,Hard Drive Rotational Speed,Battery Type,Average Battery Life (in hours),Product Dimensions,Item Weight
B01DJELWU0,"Dell Latitude 14 3450 14 inch LED Business Laptop Intel Core i5 i5-5200U 8GB RAM 500GB Webcam WiFi+Bluetooth Windows 8.1 Professional,Dell Computers,Latitude 3450",,1.0,"11,220","March 28, 2016",Dell,Latitude 14 3000,Latitude 3450,,2.2 GHz Intel Core i5,Intel,2,14 inches,,1366x768,PC,Windows 8.1 Pro,integrated_graphics,,,intel,8 GB SDRAM DDR3,DDR3 SDRAM,500 GB,Serial ATA,7200 RPM,,,13.5 x 9.7 x 0.9 inches,4.2 pounds
B01DJNW7AA,"2016 Lenovo ThinkPad Flagship Premium T460s Business Ultrabook (Intel 6th Gen i5-6200U,3M Cache, up to 2.80 GHz, 8GB, 256GB SSD, 14 FHD IPS, 1.36 kg, 22mm, Win 7 Pro 64 - Black),Lenovo",,5.0,"8,069","February 10, 2016",Lenovo ThinkPad,Thinkpad T460s,,Black,2.3 GHz Intel Core i5,Intel,2,14 inches,,1920 x 1080,PC,Windows 7 Professional,Intel HD Graphics,,,intel,8 GB DDR3 SDRAM,DDR DRAM,256 GB flash_memory_solid_state,Solid State,,,10 hours,13 x 8.9 x 0.6 inches,3 pounds
B01DJOAU6C,"Dell XPS 13 Ultrabook Laptop (13.3"" Infinity Backlit Display FHD 1080p (Intel Core i5-5200U CPU up to 2.7GHz, 4GB DDR3 RAM, 128GB SSD, Bluetooth, Windows 8.1/10) (Certified Refurbished),Dell Computers",,4.8,"9,887","March 28, 2016",XPS 15,xps 13,,,2.2 GHz Intel Core i5,Intel,2,13.3 inches,,1920 x 1080,PC,Windows 8.1,integrated_graphics,integrated,,intel,4 GB DDR3 SDRAM,DDR3 SDRAM,128 GB SSD,Solid State,,,15 hours,12 x 1 x 12 inches,4.7 pounds
B01DJQ1YNS,"Toshiba Satellite L55-C5392 15.6"" Laptop Computer - Satin Gold,Toshiba,L55-C5392",,,"1,755","March 28, 2016",Toshiba,Satellite L55-C5392,L55-C5392,,3.5 GHz Intel Core i7,Intel,4,15.6 inches,,,PC,"Windows 10, All Windows Server Versions 2000",integrated_graphics,,,intel,8 GB,DDR3 SDRAM,1 TB,eSATA,5400 RPM,,,,7 pounds
B01DK2MVL0,"2016 New Edition Toshiba Satellite 15.6"" High Performance Laptop with Flagship Specs, AMD Quad-Core A10-8700P Processor up to 3.2GHz, 12GB Ram, 1TB Hard Drive, DVD, HDMI, Backlit Keyboard, Windows 10,Toshiba,Toshiba Satellite L55D",,3.6,"1,785",,,,,,,,,,,,,,,,,,,,,,,,,,
B01DK2N6WI,"DELL PRECISION M7510 XEON E3 1535M 2.9GHZ QUADRO M1000M 2GB 16GB 2133MHZ 4K 3840X2160 1TB SSD NT0010,Dell Computers,Precision M7510",,5.0,"29,027","March 29, 2016",MerkAmerica,,Precision M7510,,2.9 GHz Intel Xeon,Intel,,15.6 inches,3840x2160,,PC,Windows 10 Professional 64 bit,,dedicated,2 GB,nvidia,16 GB,DDR4 SDRAM,1024 GB flash_memory_solid_state,"Serial ATA, Solid State",,,,17 x 15 x 4 inches,5 pounds
B01DK2NVS2,"DELL PRECISION M7710 I5 6300HQ 3.2GHZ FIREPRO W5170M 2GB 16GB 2133MHZ FHD 1080P 500GB NX0017,Dell Computers,Precision M7710",,,"24,594","March 29, 2016",MerkAmerica,,Precision M7710,,3.2 GHz Intel Core i5,Intel,,17.3 inches,1920x1080,,PC,Windows 10 Professional 64 bit,,AMD FirePro W5170M 2GB GDDR5,2 GB,amd,16 GB,DDR4 SDRAM,500 GB,Serial ATA,7200 RPM,,,17 x 15 x 4 inches,5 pounds
B01DK7PUUY,"ASUS ROG G752VY (i7-6700HQ, 64GB RAM, 128GB NVMe SSD + 1TB HDD, NVIDIA GTX 980M 4GB, 17.3"" IPS Full HD, Windows 10) Gaming Notebook,Asus,G752VY-RH71","1,795.00",,"18,065","March 29, 2016",EXcaliberPC,G752VY-RH71,G752VY-RH71,Copper Silver,2.6 GHz Intel Core i7,Intel,4,17.3 inches,1920x1080,,PC,Microsoft Windows 10,geforce gtx 980m,dedicated,,nvidia,64 GB SO-DIMM,SODIMM,1 TB flash_memory_solid_state,Serial ATA-600,7200 RPM,,,,9.5 pounds
B01DKCGK8U,"ASUS ROG G752VT (i7-6700HQ, 64GB DDR4, 1TB HDD, NVIDIA GTX 970M 3GB, 17.3"" IPS Full HD, Windows 10) Gaming Notebook,Asus,G752VT-RH71",,4.0,"19,822","March 29, 2016",EXcaliberPC,G752VT-RH71,G752VT-RH71,Copper Titanium,2.6 GHz Intel Core i7,Intel,4,17.3 inches,1920x1080,,PC,Microsoft Windows 10,geforce gtx 970m,dedicated,,nvidia,64 GB SO-DIMM,SODIMM,1 TB mechanical_hard_drive,Serial ATA-600,7200 RPM,,,,8.8 pounds
B01DKCKUPY,"ASUS ROG G752VT (i7-6700HQ, 64GB RAM, 256GB NVMe SSD + 1TB HDD, NVIDIA GTX 970M 3GB, 17.3"" IPS Full HD, Windows 10) Gaming Notebook,Asus,G752VT-RH71",,,"21,654","March 29, 2016",EXcaliberPC,G752VT-RH71,G752VT-RH71,Copper Titanium,2.6 GHz Intel Core i7,Intel,4,17.3 inches,1920x1080,,PC,Microsoft Windows 10,geforce gtx 970m,dedicated,,nvidia,64 GB,SODIMM,1 TB flash_memory_solid_state,Serial ATA-600,7200 RPM,,,,8.8 pounds
B01DKIDGXG,"ASUS ROG G752VT-DH74 (i7-6700HQ, 64GB RAM, 2x 512GB NVMe SSD + 1TB HDD, NVIDIA GTX 970M 6GB, 17.3"" IPS Full HD, Windows 10) Gaming Notebook,Asus,G752VT-DH74",,,"24,831","March 29, 2016",EXcaliberPC,G752VT-DH74,G752VT-DH74,Copper Silver,2.6 GHz Intel Core i7,Intel,4,17.3 inches,1920 x1080,,PC,Microsoft Windows 10,geforce gtx 970m,dedicated,,nvidia,64 GB SO-DIMM,SODIMM,1 TB flash_memory_solid_state,Serial ATA-600,7200 RPM,,,,8.8 pounds
