Title,Rating,Editor Rating,MSRP,Type,Processor Name,Processor Speed,Operating System,RAM,Graphics Card,Storage Capacity (as Tested),Storage Type,Screen Size,Resolution,Screen Type,Weight,Battery Rundown,PCMark7,PCMark 8 - Work Conventional,"3-D BENCHMARK TESTS - 3DMark06 - 1,024 x 768 - Default",3-D BENCHMARK TESTS - 3DMark06 - Native – 0X/4X,3DMark 11 Entry - 3D Benchmark Tests,3DMark 11 Extreme - 3D Benchmark Tests,3DMark - Cloud Gate,3DMark - Fire Strike Extreme,"Lost Planet 2 (DX9) - Middle quality - 1,024 x 768- AA/AF=Off/Off",Lost Planet 2 (DX9) - High quality - Native - AA/AF= 0X/4X,"Crysis - Medium quality - 1,024 x 768 - AA/AF=Off/Off",Crysis - High quality - Native - AA/AF= 0X/4X,"Heaven - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Heaven - Max quality - Native - AA/AF=4X/4X:,Heaven 4.0 - Medium Quality - 1366 x 768 - Off,Heaven 4.0 - Ultra Quality - Native - 4X,"Aliens vs. Predator - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Aliens vs. Predator - Max quality - Native - AA/AF=4X/4X,Valley 1.0 - Medium Quality - 1366 x 768 - Off,Valley 1.0 - Ultra Quality - Native 4X,Handbrake Multimedia Tests,Handbrake 0.9.9,CineBench 11.5 Multimedia Tests,CineBench R15,MULTIMEDIA TESTS - PhotoShop CS5,Photoshop CS6 Multimedia Tests,MobileMark 2007- Performance score,MobileMark 2007 – Standard Battery Productivity Load (hrs:min)
HP Mini 1000,3.50,good,550.00," General Purpose, Ultraportable, Value, Netbook", Intel Atom N270, 1.6 GHz," MS Windows XP Home, MS Windows XP Home", 1 GB, Intel GMA 950, 60 GB,, 10.2 inches,, Widescreen, 2.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 69, 2:58
HP Pavilion zx5000,4.00,excellent,1423.00, Media,, 3.1 GHz, MS Windows XP Home, 512 MB,, 60 GB,, 15.4 inches,,, 8.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion d4100y ,4.00,excellent,2775.00," Mainstream, Multimedia", Intel Pentium D 840, 3.2 GHz, Microsoft Windows XP Home, 1 GB, Nvidia GeForce 6800, 400 GB,, 21 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocity Micro Raptor Z40,4.00,excellent,1199.00, Gaming, Intel Core i7-4790K, 4.0 GHz, Windows 8.1, 16 GB, Nvidia GeForce GTX 980, 3.5 TB," HDD, SSD", N/A inches,,,,,, 3821,,,,, 28682, 5821,,,,,,, 201, 73,,, 144, 81,, 0:57 min:sec,, 847,, 2:30 min:sec,,
Fujitsu LifeBook N6420,2.50,fair,2499.00," Gaming, Media", Intel Core 2 Duo T7200, 2 GHz, MS Windows XP Media Center, 1 GB, AMD Mobility Radeon X1600, 200 GB,, 17 inches,, Widescreen, 9.6 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zotac ZBox Nano AD12 Plus,3.00,good,304.99," Multimedia, Nettop, Mini Desktop PC", AMD E2-1800, 1.7 GHz,, 2 GB, AMD Radeon HD 7340, 320 GB,,,,,,, 1040,,,, 563,,,,,,,,,,,,,,,, 6:41 min:sec,, 0.65 min:sec,,, 15:09 min:sec,,
Sony VAIO VGX-TP25E,4.00,excellent,3000.00," Multimedia, All-in-one", Intel Core 2 Duo T8100, 2.1 GHz, Microsoft Windows Vista Home Premium, 4 GB, Nvidia GeForce 8400M GT, 500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI GE62 Apache,4.00,excellent,1399.00, Gaming, Intel Core i7-4720HQ, 2.6 GHz, Microsoft Windows 8, 8 GB, Nvidia GeForce GTX 965M, 1000 GB, HDD, 15.6 inches, 1920 x 1080, Widescreen, 5.16 lb, 3:15,, 3099,,,,, 17174, 2399,,,,,,, 85, 26,,, 85, 31,, 1:18 min:sec,, 664,, 4:05 min:sec,,
MSI GT783-625US,4.00,excellent,2599.99, Gaming, Intel Core i7-2670QM, 2.2 GHz, Microsoft Windows 7 Home Premium, 16 GB, Nvidia GeForce GTX 580 Triple SLI, 878 GB,, 17.3 inches, 1920 x 1080, Widescreen, 8.6 lb,, 4099,,,,,,,,,,,,,,,,,,,, 1:30 min:sec,, 5.4,, 3:41 min:sec,, 332, 3:29
Gateway 400 SP,2.00,fair,1199.00,,, 1.8 GHz,,,, 20 GB,, 15 inches,,, 6 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple PowerBook ,3.00,good,3499.00,,,,, 128 MB,, 11.2 GB,, 14.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewSonic VPC220T,3.50,good,999.00," Multimedia, All-in-one, Touchscreen All-In-One", Intel Pentium Dual-Core E6600, 3.06 GHz,, 4 GB, Nvidia GeForce 310M, 320 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion dv7-3183cl,3.00,good,999.99, Media, Intel Core i5-430M, 2.27 GHz, Microsoft Windows 7 Home Premium, 4 GB, Nvidia GeForce G105M, 500 GB,, 17.3 inches,, Widescreen, 7.12 lb,,,,, 2773,,,,,,,,,,,,,,,,,,,,,,,,
Acer Ferrari 1100,3.00,good,1880.00," General Purpose, Media, Ultraportable", AMD Turion 64 X2 TL-66 Mobile, 2.3 GHz, Microsoft Windows Vista Business, 4 GB, AMD Radeon XPRESS 1270, 250 GB,, 12.1 inches,, Widescreen, 4.4 lb,,,,, 333,,,,,,,,,,,,,,,,,,,,,,, 141, 3:27
Dell Latitude X200,4.00,excellent,2199.00,,,, MS Windows XP Home, 256 MB,, 30 GB,, 12.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite A135-S4467,3.50,good,999.00," General Purpose, Media, Value", Intel Core 2 Duo T5200, 1.6 GHz, Microsoft Windows Vista Home Premium, 1 GB, Intel GMA 950, 160 GB,, 15.4 inches,, Widescreen, 5.8 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
