Title,Rating,Editor Rating,MSRP,Type,Processor Name,Processor Speed,Operating System,RAM,Graphics Card,Storage Capacity (as Tested),Storage Type,Screen Size,Resolution,Screen Type,Weight,Battery Rundown,PCMark7,PCMark 8 - Work Conventional,"3-D BENCHMARK TESTS - 3DMark06 - 1,024 x 768 - Default",3-D BENCHMARK TESTS - 3DMark06 - Native – 0X/4X,3DMark 11 Entry - 3D Benchmark Tests,3DMark 11 Extreme - 3D Benchmark Tests,3DMark - Cloud Gate,3DMark - Fire Strike Extreme,"Lost Planet 2 (DX9) - Middle quality - 1,024 x 768- AA/AF=Off/Off",Lost Planet 2 (DX9) - High quality - Native - AA/AF= 0X/4X,"Crysis - Medium quality - 1,024 x 768 - AA/AF=Off/Off",Crysis - High quality - Native - AA/AF= 0X/4X,"Heaven - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Heaven - Max quality - Native - AA/AF=4X/4X:,Heaven 4.0 - Medium Quality - 1366 x 768 - Off,Heaven 4.0 - Ultra Quality - Native - 4X,"Aliens vs. Predator - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Aliens vs. Predator - Max quality - Native - AA/AF=4X/4X,Valley 1.0 - Medium Quality - 1366 x 768 - Off,Valley 1.0 - Ultra Quality - Native 4X,Handbrake Multimedia Tests,Handbrake 0.9.9,CineBench 11.5 Multimedia Tests,CineBench R15,MULTIMEDIA TESTS - PhotoShop CS5,Photoshop CS6 Multimedia Tests,MobileMark 2007- Performance score,MobileMark 2007 – Standard Battery Productivity Load (hrs:min)
Zagg Rugged Book for iPad mini 2/3,4.50,excellent,139.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire V5-561PG-6686,3.50,good,699.99," General Purpose, Desktop Replacement", Intel Core i5-4200U, 1.6 GHz, Windows 8.1, 8 GB, AMD Radeon R7 M265, 500 GB, HDD, 15.6 inches, 1366 x 768, Widescreen, 5.62 lb, 5:48 hrs:min, 3020,,,, 3109, 587,,,,,,, 27,,,, 30, 18,,, 1:37 min:sec,, 1.78 min:sec,,, 5:11 min:sec,,
Puku S8,3.50,good,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion 9706A T-1100,4.00,excellent,3750.00,,,,, 128 MB,, 42.9 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM Puts the Note in Notebook,4.00,excellent,,,,,,,, 9.5 GB,, 10.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion p6516f-b ,3.00,good,749.99, Mainstream, AMD Athlon II X4 630,, Microsoft Windows 7 Home Premium, 6 GB, AMD Radeon HD 4200, 1000 GB,, 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion s7210n Slimline PC,4.00,excellent,499.00, Value, Intel Celeron M 360, 1.4 GHz, Microsoft Windows XP Home, 512 MB, Intel GMA 900 GM, 160 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion XE763C,3.00,good,898.00,,,,,,, 14 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewSonic Tablet PC V1100,3.00,good,2000.00, Tablet,,,,,,,,,,, 3.4 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP SlateBook 14-p010nr ,2.50,fair,429.99, Ultraportable, Nvidia Tegra 4 (T40), 1.8 GHz, Android 4.3, 2 GB,, 16 GB, SSD, 14 inches, 1920 x 1080, Widescreen, 3.57 lb, 9:15 hrs:min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell XPS 14 (Summer 2012),3.50,good,1499.99," General Purpose, Media, Ultrabook", Intel Core i7-3517U, 1.9 GHz, Microsoft Windows 7 Home Premium, 8 GB, Nvidia GeForce GT 630M, 532 GB,, 14 inches, 1600 x 900, Widescreen, 4.66 lb,, 3348,, 7047, 5929,,,,, 29, 21, 27,,,,,,,,,, 1:48 min:sec,, 2.79,, 4:05 min:sec,,, 9:37
Gateway P-7808u FX Edition,3.50,good,1800.00," Gaming, Media", Intel Core 2 Quad Q9000, 2 GHz, Microsoft Windows Vista Home Premium, 4 GB, Nvidia GeForce 9800M GTS, 5400 GB,, 17 inches,, Widescreen, 8.9 lb,,,,, 9199,,,,,,,,,,,,,,,,,,,,,,, 194, 3:29
Gateway T-6836,3.00,good,800.00, Value,, 2 GHz, Microsoft Windows Vista Home Premium, 4 GB, Intel GMA 945 GM, 250 GB,, 14 inches,, Widescreen, 5.7 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion a6460t,3.00,good,929.00," Mainstream, Multimedia", Intel Core 2 Quad Q9300, 2.5 GHz, Microsoft Windows Vista Home Premium, 2 GB, Nvidia GeForce 8400, 500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad R61,4.00,excellent,1766.00," General Purpose, Media, Small Business", Intel Core 2 Duo T7300, 2 GHz, MS Windows XP Professional, 2 GB, Intel GMA X3100, 80 GB,, 14.1 inches,, Widescreen, 5.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Venue 11 Pro 7000 Series (7140),4.00,excellent,934.99," Tablet, Business", Intel Core M-5Y71, 1.2 GHz," Microsoft Windows 8.1 Pro, Windows 8.1 Pro"," 8 GB, 8 GB"," Intel HD Graphics 5300, Intel HD Graphics 5300", 128 GB, SSD, 10.8 inches, 1920 x 1080, IPS LCD, 1.6 lb, 9:41,, 2586,,,,, 3732, 230,,,,,,, 11, 3,,, 10, 2,, 4:26 min:sec,, 154,, 4:40 min:sec,,
Toshiba DX735-D3201,3.50,good,899.99," All-in-one, Touchscreen All-In-One", Intel Core i5-2430M, 2.4 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel HD Graphics 3000, 1000 GB,, 23 inches, 1920 x 1080,,,, 2690,,,,,,,,,,,,,,,,,,,, 1:52 min:sec,, 2.69,, 4:05 min:sec,,,
AVADirect Clevo W110ER,4.00,excellent,1129.05, Gaming Ultraportable, Intel Core i7-3610QM, 2.3 GHz, Microsoft Windows 7 Home Premium, 16 GB, Nvidia GeForce GT 650M, 750 GB,, 11.6 inches, 1366 x 768, Widescreen, 3.76 lb,, 3412,, 3828, 726,,,,, 67, 61, 74,,,,,,,,,, 1:18 min:sec,, 4.66,, 4:41 min:sec,,, 3:17
Gateway NX570X,4.00,excellent,1350.00," General Purpose, Business, Small Business", Intel Core 2 Duo T7200, 2 GHz, Microsoft Windows Vista Home Premium, 1 GB, Intel GMA 950, 80 GB,, 15.4 inches,, Widescreen, 6.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon Northwest Mach V FX-62 Quad,3.50,good,9995.00, Gaming, AMD Athlon 64 FX-62, 3.1 GHz, Microsoft Windows XP Professional, 2 GB, Nvidia GeForce 7900G2 Quad SLI, 300 GB,, 30 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iBuypower Revolt R770,3.50,good,1428.00, Gaming, Intel Core i7-3770K, 1.7 GHz, Microsoft Windows 8, 8 GB, Nvidia GeForce GTX 670, 1120 GB," HDD, SSD",,,,,, 5730,,,, 11690, 3087,,,,,,, 140,,,, 169, 54,,, 0:34 min:sec,, 7.48,,, 3:07 min:sec,,
Sotec PC Station E4150AV,4.00,excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MicronPC TransPort GX3,3.00,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xplore Wildcat 5 M2,4.00,excellent,, Tablet, Intel Core i7-U620, 1.07 GHz, Microsoft Windows 7 Professional," 8 GB, 8 GB"," Intel HD Graphics, Intel HD Graphics", 160 GB, SSD, 10.4 inches, 1024 x 768, Standard, 5.4 lb, 3:29 hrs:min, 1704,,,,,,,,,,,, 1.7,,,,,,,, 2:52 min:sec,, 1.34 min:sec,,, 12:47 min:sec,,
Asus U31JG-A1,3.50,good,814.99, Ultraportable, Intel Core i3-380M, 2.53 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel GMA HD, 500 GB,, 13.3 inches,, Widescreen, 4.13 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8:03
Apple PowerBook G4 (12-inch),3.50,good,1799.00, Value,, 1.3 GHz, Mac OS X, 256 MB,, 60 GB,, 12 inches,,, 4.6 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony VAIO Pro 11 (SVP11215PXB),3.50,good,1549.99, Ultrabook, Intel Core i7-4500u, 1.8 GHz, Microsoft Windows 8 Professional, 4 GB, Intel HD Graphics 4400, 256 GB, SSD, 11.6 inches, 1920 x 1080, Widescreen, 1.92 lb, 4:21 hrs:min, 4609,,,, 1431, 216,,,,,,, 13,,,, 19, 5,,, 1:30 min:sec,, 2.46 min:sec,,, 4:40 min:sec,,
Coby MID7065,2.50,fair,119.99,,, dual-core 1.2 GHz, Google Android 4.0.4, 1 GB, ARM Mali 400, 8 GB, SSD, 7 inches,, TFT LCD, 11.84 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM Thinkpad X22,5.00,outstanding,3100.00,,,,, 256 MB,, 20 GB,,,,, 3.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite L745D-S4220RD,3.50,good,509.99, Value,, 1.6 GHz, Microsoft Windows 7 Home Premium, 4 GB, AMD Radeon HD 6310, 500 GB,, 14 inches, 1366 x 768, Widescreen, 4.47 lb,, 963,, 2394, 2034,,,,, 12.4, 6, 16.7,,,,,,,,,, 7:04 min:sec,, 0.61,, 18:33 min:sec,,, 5:02
HP Compaq dc5850,,,529.00," Business, Small Business", AMD Athlon 64 X2 4400+, 2.3 GHz, Microsoft Windows Vista Business,, AMD Radeon HD 3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Fire HD 8,3.50,good,89.99,,, 1.3 GHz, Amazon Fire OS, 1.5 GB,, 16 GB, Flash storage, 8 inches,, TFT LCD, 12 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 100B All-in-One PC ,4.00,excellent,499.99," Business, All-in-one", AMD E-350, 1.6 GHz, Microsoft Windows 7 Professional, 2 GB, AMD Radeon HD 6310, 250 GB,, 20 inches, 1600 x 900,,,,,,,,,,,,,,,,,,,,,,,, 9:09 min:sec,, 0.62,, 18:17 min:sec,,,
Apple iMac 27-inch (Core 2 Duo),4.00,excellent,1699.00," Mainstream, Multimedia, All-in-one", Intel Core 2 Duo E7600, 3.06 GHz, Mac OS X 10.6, 4 GB, AMD Radeon HD 4670, 1000 GB,, 27 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad U350,3.50,good,650.00," General Purpose, Media, Ultraportable, Value", Intel Pentium SU2700, 1.3 GHz, Microsoft Windows Vista Home Premium, 4 GB, Intel GMA 4500MHD, 320 GB,, 13.3 inches,, Widescreen, 3.6 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 95, 3:12
E-Fun Nextbook 10.1,3.00,good,199.00," Value, Tablet", Intel Atom Z3735G, 1.8 GHz," Microsoft Windows 8.1, Windows 8.1"," 1 GB, 1 GB"," Intel HD Graphics, Intel HD Graphics", 32 GB, SSD, 10.1 inches, 1280 x 800," TFT LCD, Widescreen", 2.9 lb, 5:52,, 1431,,,,, 952, N/A,,,,,,, 2, 1,,, 3, 1,, N/A min:sec,, N/A,, 25:00 min:sec,,
Acer Aspire E (E5-771G-51T2),3.50,good,799.99, Desktop Replacement, Intel Core i5-4210U, 1.7 GHz, Windows 8.1, 8 GB, Nvidia GeForce GT 840M, 1000 GB, HDD, 17.3 inches, 1920 x 1080, Widescreen, 6.31 lb, 4:25,, 2542,,,,, 5348, 658,,,,,,, 26, 8,,, 31, 8,, 3:33 min:sec,, 220,, 4:59 min:sec,,
Falcon Northwest Mach V,3.50,good,8395.00," Gaming, Multimedia", Intel Pentium 4 Extreme Edition, 4.25 GHz, Microsoft Windows XP Professional, 1 GB, Nvidia GeForce 6800 Ultra, 600 GB,, 19 inches, 1280 x 1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung RF710-S02US,3.50,good,999.00," Gaming, General Purpose, Media, Desktop Replacement", Intel Core i7-720QM, 1.6 GHz, Microsoft Windows 7 Home Premium, 4 GB, Nvidia GeForce GT 330M, 640 GB,, 17.3 inches, 1600 x 900, Widescreen, 6.4 lb,,,, 8004, 4481,,,,,,,,,,,,,,,,, 3:03 min:sec,, 2.95,, 5:26 min:sec,, 231, 3:07
HP Pavilion dv7t (2043CL),4.00,excellent,1000.00," Gaming, General Purpose, Media, Value", Intel Core 2 Duo T6400, 2 GHz, Microsoft Windows Vista Home Premium, 4 GB, AMD Mobility Radeon 4650, 500 GB,, 17.3 inches,, Widescreen, 7.6 lb,,,,, 4585,,,,,,,,,,,,,,,,,,,,,,, 157, 1:57
Overdrive PC Torque.OP,4.00,excellent,4399.00, Gaming,,, Microsoft Windows XP Professional, 1 GB, AMD Radeon x800, 400 GB,, 21 inches, 1280 x 1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Envy 23-1050t,3.50,good,1269.99, All-in-one, Intel Core i5-3450S, 2.8 GHz, Microsoft Windows 7 Home Premium, 8 GB, Nvidia GeForce GT 540M, 1000 GB,, 23 inches, 1920 x 1080,,,, 2943,,,, 1838, 313,,,,,,,,,,,,,,, 0:59 min:sec,, 5.15,, 3:12 min:sec,,,
Lenovo ThinkCentre M93z,4.00,excellent,1293.99," All-in-one, Touchscreen All-In-One", Intel Core i5-4670S, 3.1 GHz, Windows 8.1 Pro, 4 GB, Intel HD Graphics 4600, 500 GB, HDD, 23 inches, 1920 x 1080,,,, 3570,,,, 2127, N/A,,,,,,, 17,,,, 14, 5,,, 0:39 min:sec,, 5.77 min:sec,,, 4:10 min:sec,,
Voodoo Envy u:909,3.00,good,5412.00," Gaming, Media", AMD Turion 64 ML-44, 2.4 GHz, MS Windows XP Professional, 2 GB, Nvidia GeForce Go 7800GTX, 120 GB,, 19 inches,, Widescreen, 14.8 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Venue 8 Pro 3000 Series,4.00,excellent,179.00,,, 1.83 GHz, Microsoft Windows 8.1, 1 GB, Intel HD Graphics, 32 GB, SSD, 8.0 inches,, TFT LCD, 0.88 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite U845W-S430,3.00,good,1089.00," Media, Ultrabook", Intel Core i5-3317U, 1.7 GHz, Microsoft Windows 8, 6 GB, Intel HD Graphics 4000, 500 GB,, 14.4 inches, 1792 x 768, Widescreen, 3.64 lb, 5:50 hrs:min, 4237,,,, 1196, 213,,,,,,, 12,,,, 12, 6,,, 1:28 min:sec,, 2.36,,, 6:28 min:sec,,
Sony VAIO VGC-RT150Y,4.00,excellent,3999.00," Multimedia, All-in-one, Digital Entertainment System", Intel Core 2 Quad Q9400, 2.66 GHz,, 8 GB, Nvidia GeForce 9600M GT, 1000 GB,, 25.5 inches, 1920 x 1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Spectre XT TouchSmart Ultrabook 15-4010nr,4.00,excellent,1340.00," General Purpose, Ultrabook", Intel Core i7-3517U, 1.9 GHz, Microsoft Windows 8, 8 GB, Intel HD Graphics 4000, 500 + 32 GB," HDD, SSD", 15.6 inches, 1920 x 1080, Widescreen, 4.9 lb, 4:03 hrs:min, 4720,,,, 1261, 226,,,,,,, 12,,,, 14, 5,,, 1:33 min:sec,, 1.97,,, 4:51 min:sec,,
Alienware Area-51 7500,3.00,good,5129.00, Gaming, Intel Core 2 Extreme QX6700, 2.66 GHz, MS Windows XP Media Center Edition 2005, 2 GB, Nvidia GeForce 8800GTX, 550 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Portege R835-P50X,4.50,excellent,889.00," Media, Ultraportable", Intel Core i3-2310M, 2.1 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel HD Graphics 3000, 640 GB,, 13.3 inches, 1366 x 768, Widescreen, 3.2 lb,,,, 4550, 3789,,,,, 17.8,, 17.6,,,,,,,,,, 3:15 min:sec,, 2.04,, 5:36 min:sec,, 237, 9:26
Polywell MiniBox P5500C,4.00,excellent,1850.00," Gaming, Multimedia", Intel Core i7-870, 2.93 GHz, Microsoft Windows 7 Ultimate, 4 GB, AMD Radeon HD 4890, 2500 GB,, 23 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Dimension 4700 (Iss. 21 2004),4.00,excellent,999.00, Mainstream,,, Microsoft Windows XP Home, 512 MB, Intel GMA 900 GM, 160 GB,, 17 inches, 1280 x 1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire One AO521-3782,3.50,good,350.00," General Purpose, Ultraportable, Value, Netbook", AMD Athlon II Neo K125, 1.7 GHz," Microsoft Windows 7 Starter Edition, Microsoft Windows 7 Starter Edition", 1 GB, AMD Mobility Radeon 4225, 250 GB,, 10.1 inches,, Widescreen, 2.7 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 95, 5:06
Dell Studio 1555 (S1555-4285MBU),4.00,excellent,749.98, General Purpose, Intel Core 2 Duo T6600, 2.2 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel GMA 4500MHD, 500 GB,, 15.6 inches,, Widescreen, 5.9 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad U330,3.50,good,1199.00," Gaming, General Purpose, Media, Ultraportable", Intel Core 2 Duo P7350, 2 GHz, Microsoft Windows Vista Home Premium, 2 GB, AMD Radeon HD 3450, 250 GB,, 13.3 inches,, Widescreen, 4.2 lb,,,,, 1900,,,,,,,,,,,,,,,,,,,,,,,, 2:40
Maingear Ephex (Core i7),4.50,excellent,7799.00, Gaming, Intel Core i7 965 Extreme, 3.9 GHz, Microsoft Windows Vista Ultimate, 6 GB, Nvidia GeForce GTX 280 Triple SLI, 1080 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple iPad mini 2,4.50,excellent,299.00,,, 1.3 GHz, Apple iOS,,," 16, 32 GB", SSD, 7.9 inches,, Retina, 11.68 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Mac mini with Snow Leopard Server,4.50,excellent,999.00, Server,, 1.22 GHz," Mac OS X 10.6.3 Snow Leopard Server, Mac OS X 10.6.3 Snow Leopard Server", 4 GB,, 1000 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 14 (7437),3.50,good,1049.99," Ultraportable, Ultrabook", Intel Core i7-4500u, 1.8 GHz, Windows 8.1, 8 GB, Intel HD Graphics 4400, 500 GB, SSD, 14 inches, 1920 x 1080, Widescreen, 4.12 lb, 8:51 hrs:min, 4631,,,, 1727,,,,,,,, 16,,,, 16, 5,,, 1:17 min:sec,, 2.57,,, 4:24 min:sec,,
Velocity Micro Vector Z35,4.00,excellent,1079.00, Mainstream, Intel Core i5-6500, 3.2 GHz, Windows 10, 16 GB, Nvidia GeForce GTX 960, 1 TB, HDD, N/A inches,,,,,," 3,499",,,,," 17,230"," 3,534",,,,,,, 128, 40,,, 127, 46,, 1:15 min:sec,, 553,, 3:02 min:sec,,
VoodooPC Rage f:50,4.00,excellent,5000.00,,,, Microsoft Windows XP Professional, 1 GB, AMD Radeon 9800,,, 19 inches, 1280 x 1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus EeePC 1015PEM,4.00,excellent,370.00," General Purpose, Ultraportable, Value, Netbook", Intel Atom N550, 1.5 GHz," Microsoft Windows 7 Starter Edition, Microsoft Windows 7 Starter Edition", 1 GB, Intel GMA 3150, 250 GB,, 10.1 inches, 1024 x 600, Widescreen, 2.7 lb,,,, 130, 129,,,,,,,,,,,,,,,,,,, 0.48,,,,, 8:13
Toshiba Satellite U845W-S410,3.00,good,999.99," General Purpose, Media, Ultraportable, Consumer Ultra-Low Voltage, Ultrabook", Intel Core i5-3317U, 1.7 GHz, Microsoft Windows 7 Home Premium, 6 GB, Intel HD Graphics 4000, 500 GB,, 14.4 inches, 1792 x 768, Widescreen, 3.65 lb,, 4652,, 5833,,,,,, 20.3, 9,,,,,,,,,,, 1:58 min:sec,, 2.4,, 3:42 min:sec,,, 6:42
Velocity Micro Raptor Z90 (i7-3770K),4.00,excellent,2799.00," Gaming, Mainstream", Intel Core i7-3770K, 4.7 GHz, Microsoft Windows 7 Home Premium, 8 GB, Nvidia GeForce GTX 680 SLI, 1120 GB,,,,,,, 6275,,,, 20353, 6311,,,,,,,,,,,,,,, 0:52 min:sec,, 9.58,, 2:17 min:sec,,,
HP Pavilion dv5000t,4.00,excellent,1964.00," General Purpose, Media", Intel Pentium M T2500, 2 GHz," MS Windows XP Media Center, MS Windows XP Media Center", 1 GB, Nvidia GeForce Go 7400, 100 GB,, 15.4 inches,, Widescreen, 7.3 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM NetVista M42,4.00,excellent,,,,,, 512 MB, Intel 845GV, 40 GB,, 17 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xplore XSlate B10,3.50,good,2799.00,,, 1.8 GHz, Microsoft Windows 8.1 Pro, 8 GB, Intel HD Graphics 6000, 128 GB, SSD, 10.1 inches,, IPS LCD, 2.57 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion Elite h8-1020,3.50,good,899.99," Mainstream, Multimedia", Intel Core i7-2600S,, Microsoft Windows 7 Home Premium, 8 GB, AMD Radeon HD 6570, 1000 GB,,,,,,, 2896,,,, 2146, 410,,,,,,,,,,,,,,, 1:19 min:sec,, 5.71,, 3:01 min:sec,,,
"Dell Latitude CPx J650GT, Latitude LS",3.00,good,2902.00,,,,,,, 11.5 GB,, 13.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion dv9500t,4.50,excellent,1949.00," Gaming, General Purpose, Media", Intel Core 2 Duo T7500, 2.2 GHz, Microsoft Windows Vista Home Premium, 2 GB, Nvidia GeForce 8600M GS, 320 GB,, 17 inches,, Widescreen, 8.2 lb,,,,, 1970,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Air 11-inch (Mid 2013),4.00,excellent,999.00," Ultraportable, Business, Small Business", Intel Core i5-4250U, 1.3 GHz, Mac OS X 10.8, 4 GB, Intel HD Graphics 5000, 128 GB, SSD, 11.6 inches, 1366 x 768, Widescreen, 2.34 lbs, 10:42 hrs:min,,,,,,,,,,,,, 22,,,,,,,, 1:38 min:sec,, 2.42,,, 6:12 min:sec,,
Samsung SF511-A02US,3.50,good,730.00," General Purpose, Desktop Replacement", Intel Core i3-2310M, 2.1 GHz, Microsoft Windows 7 Home Premium, 6 GB,, 500 GB,, 15.6 inches, 1366 x 768, Widescreen, 5.23 lb,, 1894,, 4213, 1863,,,,, 16,, 10.18,,,,,,,,,, 2:23 min:sec,, 2.03,, 5:33 min:sec,,, 8:47
HP Pavilion Slimline Media Center s7500y PC,3.00,good,939.00," Multimedia, Digital Entertainment System", Intel Pentium M 735A, 1.7 GHz, MS Windows XP Media Center Edition 2005, 1 GB, Intel GMA 900 GM, 200 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion dv7-3080us,4.00,excellent,1449.98, General Purpose, Intel Core i7-720QM, 1.6 GHz, Microsoft Windows 7 Home Premium, 6 GB, Nvidia GeForce GT 230M, 500 GB,, 17.3 inches,, Widescreen, 7.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon Northwest Mach V (Core i7-2600K),4.00,excellent,4599.00, Gaming,, 4.7 GHz, Microsoft Windows 7 Home Premium, 16 GB,, 1240 GB,,,,,,,,,,,,,,,,,,,,,,,,,,, 1:15 min:sec,, 9.2,, 2:26 min:sec,,,
Lenovo IdeaCentre K220,4.50,excellent,649.00," Mainstream, Value", Intel Core 2 Quad Q8200, 2.33 GHz, Microsoft Windows Vista Home Premium, 4 GB, Nvidia GeForce 9300+ GE, 640 GB,, 21.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Fire HD 6,3.50,good,99.00,,, 1.2 GHz, Amazon Fire OS, 1 GB,, 8 GB, SSD, 6 inches,, IPS LCD, 10.1 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocity Micro Raptor DCX,4.00,excellent,6283.00," Gaming, Multimedia, Workstation", Intel Core 2 Extreme X6800, 3.4 GHz, MS Windows XP Professional, 2 GB, AMD Radeon X1900 CrossFire, 700 GB,, 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateway E-265M,3.50,good,2100.00," Media, Business, Small Business", Intel Core 2 Duo T7500, 2.2 GHz, Microsoft Windows Vista Business, 2 GB, Intel GMA X3100, 80 GB,, 14.1 inches,, Widescreen, 6.4 lb,,,,, 946,,,,,,,,,,,,,,,,,,,,,,,,
Sony VAIO Digital Studio PCV-RS220,4.00,excellent,1549.98,,,,, 512 MB,, 120 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Multi-CPU Eon Begins,4.00,excellent,6344.00,,,,, 1 GB,, 35 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony VAIO VPC-EB13FX/BIC,3.00,good,999.99," General Purpose, Media, Value", Intel Core i5-430M, 2.26 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel GMA HD, 500 GB,, 15.5 inches,, Widescreen, 5.56 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateway M250XL ,4.00,excellent,1170.00," Business, General Purpose, Media", Intel Pentium M 750, 1.86 GHz, MS Windows XP Home, 512 MB, Intel GMA 900 GM, 60 GB,, 14.1 inches,, Widescreen, 5.1 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony VAIO VGN-T150 ,4.00,excellent,2499.00," Media, Ultraportable",, 1.1 GHz, MS Windows XP Professional, 512 MB, Intel 82855 GME, 40 GB,, 10.6 inches,, Widescreen, 3.1 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 17R-2211OBK,4.00,excellent,799.98," General Purpose, Media, Value", Intel Core i5-450M, 2.4 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel GMA HD, 500 GB,, 17.3 inches,, Widescreen, 6.7 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Dimension 8250,4.00,excellent,3158.00,,,,, 512 MB,, 200 GB,, 18 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateway M460,3.00,good,2184.00," General Purpose, Business",, 2.13 GHz, MS Windows XP Professional, 512 MB, AMD Radeon x600, 80 GB,, 15.4 inches,, Widescreen, 6.8 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus VivoBook X202E-BH91T-CB,3.50,good,499.99, General Purpose, Intel Pentium B987, 1.5 GHz, Microsoft Windows 8, 4 GB, Intel GMA HD, 5000 GB, HDD, 11.6 inches, 1366 x 768, Widescreen, 4.41 lb, 3:55 hrs:min, 1560,,,,,,,,,,,, 3,,,,,,,, 4:54 min:sec,, 0.86 min:sec,,, 12:44 min:sec,,
Toshiba Satellite T135-S1305WH,3.50,good,649.99," General Purpose, Ultraportable, Value", Intel Pentium U4100, 1.3 GHz, Microsoft Windows 7 Home Premium, 3 GB, Intel GMA 4500MHD, 320 GB,, 13.1 inches,, Widescreen, 3.7 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 120, 8:20
