,id,ltable_id,rtable_id
1716,3668584,562159,173675
1717,3668585,172101,173675
1719,3668592,78196,173675
1750,3688654,405368,413670
1762,3698623,242249,744041
1764,3703460,732889,783756
1774,3724057,214241,930762
1778,3745599,120826,134902
1779,3745825,204870,169782
1782,3757640,605365,927876
1783,3757644,237638,927876
1784,3763740,159342,559355
1786,3770594,649167,737437
1790,3788220,375666,159143
1798,3802093,679919,196479
1827,3808272,457918,535126
1829,3815346,624178,961273
1833,3829112,362433,727066
1834,3834582,709104,549447
1835,3835067,656996,691436
1836,3835087,162498,691436
1837,3835118,731291,691436
1862,3851418,566263,195025
1878,3859034,640621,586272
1879,3861448,612708,74012
1880,3872895,285639,913889
1881,3873243,677601,551941
1882,3873261,491672,551941
1884,3883242,491004,327942
1885,3885198,47472,830061
1886,3885238,370603,830061
1888,3888923,726826,47875
1889,3888925,220371,47875
1890,3888928,644175,47875
1891,3895805,644385,566905
1898,3904292,628889,650073
1899,3905750,555089,154834
1902,3920069,671133,817949
1906,3932123,532736,869706
1907,3937414,242027,781111
1939,3952091,160176,370831
1945,3962270,58956,215171
1946,3966656,175101,831477
1948,3982398,268457,282131
1949,3982399,694426,282131
1950,3982406,627995,282131
1951,3983860,111521,573318
1953,3996481,298532,76921
1957,4002634,213476,33387
1959,4009973,669807,478034
1961,4014669,271988,359800
1963,4019203,729643,231795
1964,4019720,542580,170891
1965,4019740,71103,170891
1966,4019744,81025,170891
1967,4028506,407632,373554
1971,4043531,103411,532201
1974,4046311,585077,903539
1976,4051760,446491,928702
1987,4092178,239534,715488
2060,4137365,525617,585289
2083,4174537,308641,747364
2086,4176753,247507,388697
2087,4179305,397997,46732
2088,4179389,648230,46732
2091,4199223,45677,487253
2092,4213071,547108,661432
2106,4225922,167393,234420
2111,4232438,29945,415204
2118,4241069,40570,392078
2119,4242665,635842,369105
2123,4251351,315458,426473
2125,4253036,88434,102596
2126,4256599,34860,144670
2131,4266277,370325,447932
2139,4272999,153092,853605
