ltable_Title,rtable_Title
hp pavilion slimline s3020n pc,"2016 newest hp pavilion 15.6"" hd touchscreen premium laptop pc with free 1-year office 365 personal, amd quad-core a8 apu up to 2.5ghz, 8gb ram, 1tb hdd, dvdrw, hdmi, usb 3.0, dts studio, windows 10,hp-consumer remarketing,15-af512"
hp pavilion media center tv m8100y pc,"2016 newest hp pavilion 15.6"" hd touchscreen premium laptop pc with free 1-year office 365 personal, amd quad-core a8 apu up to 2.5ghz, 8gb ram, 1tb hdd, dvdrw, hdmi, usb 3.0, dts studio, windows 10,hp-consumer remarketing,15-af512"
hp pavilion all-in-one ms214 pc,"2016 newest hp pavilion 15.6"" hd touchscreen premium laptop pc with free 1-year office 365 personal, amd quad-core a8 apu up to 2.5ghz, 8gb ram, 1tb hdd, dvdrw, hdmi, usb 3.0, dts studio, windows 10,hp-consumer remarketing,15-af512"
hp pavilion media center tv m7780n desktop pc,"2016 newest hp pavilion 15.6"" hd touchscreen premium laptop pc with free 1-year office 365 personal, amd quad-core a8 apu up to 2.5ghz, 8gb ram, 1tb hdd, dvdrw, hdmi, usb 3.0, dts studio, windows 10,hp-consumer remarketing,15-af512"
hp pavilion media center tv m7690n pc,"2016 newest hp pavilion 15.6"" hd touchscreen premium laptop pc with free 1-year office 365 personal, amd quad-core a8 apu up to 2.5ghz, 8gb ram, 1tb hdd, dvdrw, hdmi, usb 3.0, dts studio, windows 10,hp-consumer remarketing,15-af512"
hp pavilion elite pc hpe-510y,"2016 newest hp pavilion 15.6"" hd touchscreen premium laptop pc with free 1-year office 365 personal, amd quad-core a8 apu up to 2.5ghz, 8gb ram, 1tb hdd, dvdrw, hdmi, usb 3.0, dts studio, windows 10,hp-consumer remarketing,15-af512"
dell latitude e5510,"dell latitude e5510 15.6"" led notebook - core i5 i5-520m 2.40 ghz - silver,dell computers,vs308127"
hp elitebook 8740w,"hp elitebook 8740w xt913ua 17"" led notebook - core i7 i7-640m 2.8ghz (xt913ua#aba),hp,synx2775933"
apple macbook pro 13-inch (mid 2012),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 13-inch,"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 13-inch (thunderbolt),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 15-inch (penryn),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 13-inch (core 2 duo 2.4ghz),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
"apple macbook pro 13-inch, retina display (2015)","apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 13-inch (late 2011),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 15-inch with retina display (2015),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 17-inch (core 2 duo t7700),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 15-inch (mid 2012),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro (15-inch),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 15-inch (retina display),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 15-inch (sd slot),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 15-inch (thunderbolt),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 15-inch retina display (2014),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 15-inch (late 2011),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
"apple macbook pro 13-inch, retina display (2014)","apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 13-inch (retina display),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 15-inch (core 2 duo),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
apple macbook pro 17-inch (unibody),"apple macbook pro mc721ll/a i7-2635qm 2.00ghz - 4gb - 500gb hdd - dvd±rw - amd radeon hd 6490m 256mb video - 15.4-inch,apple,mc721ll/a"
hp compaq 6000 pro all-in-one business pc,"hp w0s85ut#aba business 15.6"" 450 i5-6200u 4gb 500gb pc laptop,hewlett packard,w0s85ut#aba"
hp compaq dx2200 business desktop pc,"hp w0s85ut#aba business 15.6"" 450 i5-6200u 4gb 500gb pc laptop,hewlett packard,w0s85ut#aba"
sony vaio vgn-sz280p (intel core 2 duo),"apple macbook white 13"" 2.4ghz (intel core 2 duo, 2gb, 250gb, nvidia geforce 320m graphics, up to 10 hour battery life),screencenter,mc516b/a,2005899"
hp elitebook 850 g1 ,"hp elitebook folio 1020 g1 12.5"" touchscreen led notebook - intel core m 5y71 1.20 ghz l9g98ut#aba,hp,l9g98ut#aba"
hp elitebook folio 9470m ultrabook,"hp elitebook folio 1020 g1 12.5"" touchscreen led notebook - intel core m 5y71 1.20 ghz l9g98ut#aba,hp,l9g98ut#aba"
hp elitebook folio 1020,"hp elitebook folio 1020 g1 12.5"" touchscreen led notebook - intel core m 5y71 1.20 ghz l9g98ut#aba,hp,l9g98ut#aba"
hp elitebook folio 1040 g1 (g4u67ut) ,"hp elitebook folio 1020 g1 12.5"" touchscreen led notebook - intel core m 5y71 1.20 ghz l9g98ut#aba,hp,l9g98ut#aba"
hp elitebook folio 1040 g1,"hp elitebook folio 1020 g1 12.5"" touchscreen led notebook - intel core m 5y71 1.20 ghz l9g98ut#aba,hp,l9g98ut#aba"
lenovo thinkpad edge 15,"lenovo thinkpad edge e450 14"" hd 1366x768 business laptop intel core i5-5200u 2.2ghz radeon graphic 16gb memory 1tb solid state drive ssd usb 3.0 hdmi bluetooth wireless webcam ethernet windows 7,lenovo"
lenovo thinkpad yoga 14,"lenovo thinkpad edge e450 14"" hd 1366x768 business laptop intel core i5-5200u 2.2ghz radeon graphic 16gb memory 1tb solid state drive ssd usb 3.0 hdmi bluetooth wireless webcam ethernet windows 7,lenovo"
lenovo thinkpad edge e431,"lenovo thinkpad edge e450 14"" hd 1366x768 business laptop intel core i5-5200u 2.2ghz radeon graphic 16gb memory 1tb solid state drive ssd usb 3.0 hdmi bluetooth wireless webcam ethernet windows 7,lenovo"
lenovo thinkpad edge 13,"lenovo thinkpad edge e450 14"" hd 1366x768 business laptop intel core i5-5200u 2.2ghz radeon graphic 16gb memory 1tb solid state drive ssd usb 3.0 hdmi bluetooth wireless webcam ethernet windows 7,lenovo"
lenovo thinkpad e450,"lenovo thinkpad edge e450 14"" hd 1366x768 business laptop intel core i5-5200u 2.2ghz radeon graphic 16gb memory 1tb solid state drive ssd usb 3.0 hdmi bluetooth wireless webcam ethernet windows 7,lenovo"
lenovo thinkpad edge e420s,"lenovo thinkpad edge e450 14"" hd 1366x768 business laptop intel core i5-5200u 2.2ghz radeon graphic 16gb memory 1tb solid state drive ssd usb 3.0 hdmi bluetooth wireless webcam ethernet windows 7,lenovo"
panasonic toughbook cf-53,"panasonic toughbook cf-53 core i5 2.5ghz 4gb memory 320gb hard drive 14"" high definition screen dvdrw windows 7 (refurbished),panasonic"
avadirect mini gaming pc core i5 z77,"probook 6550b wz239ua notebook pc - core i5 i5-520m 2.4ghz - 15.6"",hp"
dell latitude 14 5000 series (e5450),"dell latitude e6410 14"" core i5 160gb notebook,dell computers"
dell latitude 14 rugged extreme,"dell latitude e6410 14"" core i5 160gb notebook,dell computers"
