id,movie_title,year,episode,song_title,artists
721661,when i met u,2009.0,nan,gusto na kita,6cyclemind
656130,the devil and daniel johnston,2005.0,nan,lazy,daniel johnston
131843,la gata,2014.0,agustín explota al saber que se casarán pablo y la gata (#1.9),vas a querer volver,maite perroni
721668,when jane & johnny come marching... home less,2016.0,nan,pater  qui es in caelis,louis delise+the philadelphia studio voices
721682,when johnny comes marching home,1942.0,nan,one of us has gotta go,inez james+buddy pepper+gloria jean+donald oconnor
688915,the ultimate clip collection: alice cooper,2003.0,nan,loves a loaded gun,alice cooper+jack ponti+vic pepe
688920,the ultimate gift,2006.0,nan,dodge city rockers,steven albert+sid barcelona+jon horvath+robert myers iii+stephen raskin+fort knox five feet with mustafa akbar
656152,the devil and daniel johnston,2005.0,nan,do it right,jad fair+daniel johnston+daniel johnston+moe tucker
656156,the devil and daniel johnston,2005.0,nan,master of puppets,lars ulrich+james hetfield+kirk hammett+cliff burton+metallica
525088,love lies bleeding,2008.0,nan,eyes of a soldier,hood surgeon
721697,when life gives you lemons,2008.0,nan,makin lemonade,anibal michel
688930,the ultimate gift,2006.0,nan,something changed,sara groves
721700,when lights are low,2010.0,nan,why did i choose you,michael leonard+denise donatelli
459558,groupies bleiben nicht zum frühstück,2010.0,nan,two steps,jonathan express
721702,when lilly laney moved in,1992.0,nan,i cant believe that youre in love with me,joe williams
721709,when mousehood was in flower,1953.0,nan,hearts and flowers,theodore moses tobani
721719,when my baby smiles at me,1948.0,nan,the birth of the blues,ray henderson
721723,when my baby smiles at me,1948.0,nan,and hed say oo-la-la wee-wee,harry ruby
426811,el conejo blanco: warped to hiroshima!!,2015.0,nan,harder  better  faster  stronger,daft punk
721725,when my baby smiles at me,1948.0,nan,how ya gonna keep em down on the farm (after theyve seen paree?),walter donaldson
426815,el crimen del padre amaro,2002.0,nan,te odio,rudy pérez+joel numa+pablo montero
721730,when my ship comes in,1934.0,nan,the stars and stripes forever,john philip sousa
721734,when nature calls,1985.0,nan,so & so,phil demise+didus+the fabulous mascarenes
721735,when nature calls,1985.0,nan,street salsa,orquestra maiz
721744,when night is falling,1995.0,nan,symphony no. 4 in d minor op. 13,antonín dvorák+west bohemian national orchestra
721745,when night is falling,1995.0,nan,hallelujah,leonard cohen+performed with the permission of stranger music inc.
688978,the unauthorized saved by the bell story,2014.0,nan,poison,elliot straite+bell biv devoe
