id,ltable_id,rtable_id
4044,2605.0,758556.0
4045,5289.0,758556.0
4046,1377.0,758556.0
4057,5395.0,849840.0
4073,4861.0,201891.0
4143,6612.0,617683.0
4150,4669.0,167489.0
4177,4865.0,797599.0
4181,5120.0,292829.0
4205,5381.0,834261.0
4206,959.0,834261.0
4218,4832.0,121699.0
4219,5521.0,637614.0
4220,6999.0,637614.0
4223,4180.0,774285.0
4224,5800.0,774285.0
4231,4034.0,820193.0
4240,6550.0,227243.0
4241,1658.0,377340.0
4267,2860.0,778213.0
4269,1592.0,761471.0
4270,4807.0,761471.0
4271,1246.0,761471.0
4272,874.0,761471.0
4273,934.0,761471.0
4281,6170.0,764277.0
4284,3864.0,845394.0
4285,2905.0,845394.0
4300,5796.0,540878.0
4314,5336.0,735848.0
4325,6375.0,482962.0
4336,449.0,576351.0
4342,5004.0,178364.0
4355,6405.0,370104.0
4360,2242.0,305984.0
4368,2669.0,715647.0
4369,3723.0,715647.0
4399,6778.0,670569.0
4416,958.0,851909.0
4417,2193.0,515144.0
4418,5410.0,515144.0
4421,5337.0,705353.0
4433,5704.0,536509.0
4450,4566.0,449034.0
4463,1857.0,833794.0
4477,7201.0,734669.0
4479,4272.0,820005.0
4480,3306.0,820005.0
4481,2386.0,820005.0
4482,971.0,820005.0
4484,3903.0,863249.0
4485,413.0,863249.0
4513,5413.0,139820.0
4517,5659.0,375056.0
4519,5694.0,859889.0
4524,2294.0,782089.0
4559,3347.0,269754.0
4560,6455.0,269754.0
4582,2688.0,660650.0
4615,2357.0,816584.0
4639,373.0,547965.0
4692,2875.0,706673.0
