id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year
779,4807.0,708979.0,the singing detective,"[2003, 1959]",the dead detective,2008.0
780,1246.0,708979.0,the singing detective,"[2003, 1958]",the dead detective,2008.0
782,874.0,708979.0,the singing detective,2003,the dead detective,2008.0
783,934.0,708979.0,the singing detective,"[2003, 2000]",the dead detective,2008.0
786,5376.0,744889.0,the butcher,"[2013, 2005]",the new york butcher,2016.0
792,6005.0,705419.0,the coming thing,1970,the coming thing,1970.0
793,1285.0,837465.0,we need to talk about kevin,"[2011, 2009]",we need to talk about kieran,2011.0
794,5462.0,725585.0,the girl,2012,the hidden girl,2010.0
812,5473.0,439501.0,lou,2010,lou,2009.0
813,4719.0,200172.0,doragon b�ru z: tobikkiri no saiky� tai saiky�,"[1991, 2005]",doragon b?ru z: tobikkiri no saiky? tai saiky?,1991.0
814,863.0,335627.0,in the name of the father,"[1993, 1976]",in the name of the brotherhood,1996.0
821,2115.0,499501.0,nativity 2: danger in the manger!,"[2012, 2006]",nativity 2: danger in the manger!,2012.0
822,7074.0,499501.0,nativity 2: danger in the manger!,"[2012, 2006]",nativity 2: danger in the manger!,2012.0
823,5578.0,499501.0,nativity 2: danger in the manger!,"[2012, 2006]",nativity 2: danger in the manger!,2012.0
832,1351.0,331908.0,imitation life,"[2008, 2004]",imitation,2007.0
833,1409.0,503966.0,new orleans,"[1947, 1987]",new orleans,1947.0
834,3336.0,503966.0,new orleans,"[1947, 1987]",new orleans,1947.0
836,5371.0,503966.0,new orleans,"[1947, 1987]",new orleans,1947.0
839,1657.0,302163.0,heroes,"[2006, 1999]",heroes,1999.0
848,863.0,335628.0,in the name of the father,"[1993, 1976]",in the name of the emperor,1998.0
852,1134.0,839180.0,welcome to the 80s,"[2009, 1998]",welcome to the max,1993.0
853,6805.0,839180.0,welcome to the 80s,"[2009, 1992]",welcome to the max,1993.0
855,174.0,839180.0,welcome to the 80s,"[2009, 1988]",welcome to the max,1993.0
862,5001.0,839180.0,welcome to the 80s,"[2009, 1988]",welcome to the max,1993.0
867,5879.0,840841.0,what happens in vegas,"[2008, 2006]",what happens in vegas,2008.0
868,383.0,840841.0,what happens in vegas,"[2008, 1997]",what happens in vegas,2008.0
876,5870.0,419292.0,legend,"[2015, 1999]",legend,2013.0
877,5462.0,720382.0,the girl,2012,the girl,2009.0
883,6854.0,693549.0,the affair,"[2014, 1988]",the applesauce affair,2009.0
884,4396.0,693549.0,the affair,"[2014, 1974]",the applesauce affair,2009.0
885,6603.0,674279.0,surviving christmas,"[2004, 2009]",surviving christmas,2004.0
888,266.0,430510.0,lip service,"[2010, 2009]",lip service,2013.0
889,3190.0,430510.0,lip service,"[2010, 1978]",lip service,2013.0
890,232.0,430510.0,lip service,"[2010, 1978]",lip service,2013.0
891,3324.0,430510.0,lip service,"[2010, 2009]",lip service,2013.0
897,371.0,93229.0,beware the gonzo,"[2010, 2009]",beware the gonzo,2010.0
918,5376.0,692499.0,the butcher,"[2013, 2005]",the alabama butcher,2016.0
921,6313.0,94733.0,friends,1994,bi friends,1996.0
922,5520.0,94733.0,friends,"[1994, 1996]",bi friends,1996.0
923,1007.0,94733.0,friends,"[1994, 1998]",bi friends,1996.0
925,5846.0,108359.0,bound for glory,1976,bound for glory,1976.0
926,5612.0,244991.0,fever pitch,"[2005, 2004]",fever pitch,2005.0
927,3509.0,528849.0,one day,"[2011, 1988]",one more day,2010.0
930,5939.0,457857.0,margot at the wedding,"[2007, 1972]",margot at the wedding,2007.0
934,366.0,606689.0,rush,"[1991, 1983]",rush,1983.0
942,5180.0,860471.0,you again,"[2010, 2008]",you again,2010.0
943,573.0,860471.0,you again,"[2010, 2003]",you again,2010.0
950,4496.0,667908.0,strike!,"[1998, 1965]",strike!,2002.0
969,2588.0,692126.0,the adventures of sebastian cole,1998,the adventures of sebastian cole,1998.0
970,2208.0,692126.0,the adventures of sebastian cole,1998,the adventures of sebastian cole,1998.0
972,4906.0,103885.0,bluesland: a portrait in american music,1993,bluesland: a portrait in american music,1993.0
976,4448.0,737115.0,the box,2009,the love box,2007.0
979,574.0,690906.0,the x factor,"[2004, 2009]",the 'wow' factor,2011.0
982,4212.0,690906.0,the x factor,"[2004, 2009]",the 'wow' factor,2011.0
